target,trial,object,unique_id,age
1,trial_1,chair,hSn4fIQ,37
1,exclusion_1,chair,hSn4fIQ,37
0,exclusion_2,chair,hSn4fIQ,37
1,trial_1,chair,jnjVGod,28
1,exclusion_1,chair,jnjVGod,28
0,exclusion_2,chair,jnjVGod,28
1,trial_1,chair,TgxXXSe,24
1,exclusion_1,chair,TgxXXSe,24
0,exclusion_2,chair,TgxXXSe,24
1,trial_1,chair,ZLnJdvG,35
1,exclusion_1,chair,ZLnJdvG,35
0,exclusion_2,chair,ZLnJdvG,35
1,trial_1,chair,QedRydo,25
1,exclusion_1,chair,QedRydo,25
0,exclusion_2,chair,QedRydo,25
1,trial_1,chair,y76OCOZ,29
1,exclusion_1,chair,y76OCOZ,29
0,exclusion_2,chair,y76OCOZ,29
1,trial_1,chair,2WMjhEK,31
1,exclusion_1,chair,2WMjhEK,31
0,exclusion_2,chair,2WMjhEK,31
0,trial_1,chair,VWPJ8S6,31
1,exclusion_1,chair,VWPJ8S6,31
0,exclusion_2,chair,VWPJ8S6,31
1,trial_1,chair,aA0568r,46
1,exclusion_1,chair,aA0568r,46
0,exclusion_2,chair,aA0568r,46
1,trial_1,plant,PHka92C,27
1,exclusion_1,plant,PHka92C,27
0,exclusion_2,plant,PHka92C,27
1,trial_1,cinderblocks,w1dJUMz,44
1,exclusion_1,cinderblocks,w1dJUMz,44
0,exclusion_2,cinderblocks,w1dJUMz,44
1,trial_1,books,YSutkz6,21
1,exclusion_1,books,YSutkz6,21
0,exclusion_2,books,YSutkz6,21
1,trial_1,plant,qTPE1hb,60
1,exclusion_1,plant,qTPE1hb,60
0,exclusion_2,plant,qTPE1hb,60
1,trial_1,cinderblocks,fboo02e,39
1,exclusion_1,cinderblocks,fboo02e,39
0,exclusion_2,cinderblocks,fboo02e,39
1,trial_1,tape,KoqvUpy,44
1,exclusion_1,tape,KoqvUpy,44
0,exclusion_2,tape,KoqvUpy,44
1,trial_1,tape,dQ6tF3G,38
1,exclusion_1,tape,dQ6tF3G,38
0,exclusion_2,tape,dQ6tF3G,38
1,trial_1,plant,StEEAG7,25
1,exclusion_1,plant,StEEAG7,25
0,exclusion_2,plant,StEEAG7,25
1,trial_1,books,2BAdl4t,54
1,exclusion_1,books,2BAdl4t,54
0,exclusion_2,books,2BAdl4t,54
1,trial_1,books,SpqNmQr,27
1,exclusion_1,books,SpqNmQr,27
0,exclusion_2,books,SpqNmQr,27
1,trial_1,fishbowl,XWZcKAI,29
1,exclusion_1,fishbowl,XWZcKAI,29
0,exclusion_2,fishbowl,XWZcKAI,29
0,trial_1,tape,xd6ynMZ,30
2,exclusion_1,tape,xd6ynMZ,30
0,exclusion_2,tape,xd6ynMZ,30
0,trial_1,hat,fYRwvo7,30
2,exclusion_1,hat,fYRwvo7,30
0,exclusion_2,hat,fYRwvo7,30
0,trial_1,cinderblocks,qZ8l2gD,30
2,exclusion_1,cinderblocks,qZ8l2gD,30
0,exclusion_2,cinderblocks,qZ8l2gD,30
0,trial_1,rulers,PJhUaKe,23
0,exclusion_1,rulers,PJhUaKe,23
0,exclusion_2,rulers,PJhUaKe,23
1,trial_1,fishbowl,cCAHbfL,71
1,exclusion_1,fishbowl,cCAHbfL,71
0,exclusion_2,fishbowl,cCAHbfL,71
0,trial_1,hat,DQThYyO,30
2,exclusion_1,hat,DQThYyO,30
0,exclusion_2,hat,DQThYyO,30
1,trial_1,fishbowl,UbJOXrZ,32
1,exclusion_1,fishbowl,UbJOXrZ,32
0,exclusion_2,fishbowl,UbJOXrZ,32
0,trial_1,books,vz4Smjg,35
2,exclusion_1,books,vz4Smjg,35
0,exclusion_2,books,vz4Smjg,35
0,trial_1,fishbowl,VEOnwX4,35
0,exclusion_1,fishbowl,VEOnwX4,35
0,exclusion_2,fishbowl,VEOnwX4,35
1,trial_1,tape,TE9d7y6,57
1,exclusion_1,tape,TE9d7y6,57
0,exclusion_2,tape,TE9d7y6,57
1,trial_1,fishbowl,8DSugZ5,28
1,exclusion_1,fishbowl,8DSugZ5,28
0,exclusion_2,fishbowl,8DSugZ5,28
0,trial_1,fishbowl,iFotM9h,30
2,exclusion_1,fishbowl,iFotM9h,30
0,exclusion_2,fishbowl,iFotM9h,30
1,trial_1,tape,M0RzNy0,31
1,exclusion_1,tape,M0RzNy0,31
0,exclusion_2,tape,M0RzNy0,31
1,trial_1,cinderblocks,4rjn9b8,36
1,exclusion_1,cinderblocks,4rjn9b8,36
0,exclusion_2,cinderblocks,4rjn9b8,36
1,trial_1,rulers,CYABAIb,66
1,exclusion_1,rulers,CYABAIb,66
0,exclusion_2,rulers,CYABAIb,66
1,trial_1,plant,nl4FrLr,38
1,exclusion_1,plant,nl4FrLr,38
0,exclusion_2,plant,nl4FrLr,38
1,trial_1,books,HmENBBY,51
1,exclusion_1,books,HmENBBY,51
0,exclusion_2,books,HmENBBY,51
1,trial_1,rulers,tQCms9k,43
