HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
3PGQRAZX02USV3UQZORI04Z47MCSYX,3MCFX9UVS0URJRDU8ZV1L2829T3867,Look at a series of images and answer some multiple-choice questions (please only do this HIT once!),Read a short story and answer several multiple-choice questions (HIT takes around 3 minutes),"psychology, cognitive, science, research, yale, university, fun, thinking",$0.45 ,Mon Sep 16 11:53:57 PDT 2019,10,BatchId:3769218;OriginalHitTemplateId:920937340;,7200,259200,Mon Sep 23 11:53:57 PDT 2019,,,30IQTZXKALG5H9IYBSRXW4HYIH80XR,X,Approved,Mon Sep 16 11:56:09 PDT 2019,Mon Sep 16 11:58:38 PDT 2019,Thu Sep 19 11:58:38 PDT 2019,Thu Sep 19 11:59:17 PDT 2019,,,149,100% (5/5),100% (1/1),100% (1/1),G3DF8cLs9,,
3PGQRAZX02USV3UQZORI04Z47MCSYX,3MCFX9UVS0URJRDU8ZV1L2829T3867,Look at a series of images and answer some multiple-choice questions (please only do this HIT once!),Read a short story and answer several multiple-choice questions (HIT takes around 3 minutes),"psychology, cognitive, science, research, yale, university, fun, thinking",$0.45 ,Mon Sep 16 11:53:57 PDT 2019,10,BatchId:3769218;OriginalHitTemplateId:920937340;,7200,259200,Mon Sep 23 11:53:57 PDT 2019,,,31EUONYN2WDYG15MDYSQYKGV09FVO8,X,Approved,Mon Sep 16 11:55:47 PDT 2019,Mon Sep 16 13:12:46 PDT 2019,Thu Sep 19 13:12:46 PDT 2019,Thu Sep 19 13:13:17 PDT 2019,,,4619,100% (4/4),100% (1/1),100% (1/1),G3y76OCOZ,,
3PGQRAZX02USV3UQZORI04Z47MCSYX,3MCFX9UVS0URJRDU8ZV1L2829T3867,Look at a series of images and answer some multiple-choice questions (please only do this HIT once!),Read a short story and answer several multiple-choice questions (HIT takes around 3 minutes),"psychology, cognitive, science, research, yale, university, fun, thinking",$0.45 ,Mon Sep 16 11:53:57 PDT 2019,10,BatchId:3769218;OriginalHitTemplateId:920937340;,7200,259200,Mon Sep 23 11:53:57 PDT 2019,,,31JLPPHS2V4E4S33TOMKFPOC9PN3OK,X,Approved,Mon Sep 16 13:48:19 PDT 2019,Mon Sep 16 13:50:52 PDT 2019,Thu Sep 19 13:50:52 PDT 2019,Thu Sep 19 13:51:17 PDT 2019,,,153,100% (1/1),100% (1/1),100% (1/1),G3aA0568r,,
3PGQRAZX02USV3UQZORI04Z47MCSYX,3MCFX9UVS0URJRDU8ZV1L2829T3867,Look at a series of images and answer some multiple-choice questions (please only do this HIT once!),Read a short story and answer several multiple-choice questions (HIT takes around 3 minutes),"psychology, cognitive, science, research, yale, university, fun, thinking",$0.45 ,Mon Sep 16 11:53:57 PDT 2019,10,BatchId:3769218;OriginalHitTemplateId:920937340;,7200,259200,Mon Sep 23 11:53:57 PDT 2019,,,33FBRBDW6P9ZW0C6F08PB6260X8C80,X,Approved,Mon Sep 16 13:18:51 PDT 2019,Mon Sep 16 13:24:20 PDT 2019,Thu Sep 19 13:24:20 PDT 2019,Thu Sep 19 13:25:17 PDT 2019,,,329,100% (2/2),100% (1/1),100% (1/1),G3VWPJ8S6,,
3PGQRAZX02USV3UQZORI04Z47MCSYX,3MCFX9UVS0URJRDU8ZV1L2829T3867,Look at a series of images and answer some multiple-choice questions (please only do this HIT once!),Read a short story and answer several multiple-choice questions (HIT takes around 3 minutes),"psychology, cognitive, science, research, yale, university, fun, thinking",$0.45 ,Mon Sep 16 11:53:57 PDT 2019,10,BatchId:3769218;OriginalHitTemplateId:920937340;,7200,259200,Mon Sep 23 11:53:57 PDT 2019,,,33TIN5LC05KCD8WLGKWS8TP0NRVY96,X,Approved,Mon Sep 16 11:55:48 PDT 2019,Mon Sep 16 12:10:38 PDT 2019,Thu Sep 19 12:10:38 PDT 2019,Thu Sep 19 12:11:17 PDT 2019,,,890,100% (4/4),100% (1/1),100% (1/1),G3TgxXXSe,,
3PGQRAZX02USV3UQZORI04Z47MCSYX,3MCFX9UVS0URJRDU8ZV1L2829T3867,Look at a series of images and answer some multiple-choice questions (please only do this HIT once!),Read a short story and answer several multiple-choice questions (HIT takes around 3 minutes),"psychology, cognitive, science, research, yale, university, fun, thinking",$0.45 ,Mon Sep 16 11:53:57 PDT 2019,10,BatchId:3769218;OriginalHitTemplateId:920937340;,7200,259200,Mon Sep 23 11:53:57 PDT 2019,,,34V1S5K3GTBAUOMFA110P257OH369F,X,Approved,Mon Sep 16 11:55:47 PDT 2019,Mon Sep 16 12:17:26 PDT 2019,Thu Sep 19 12:17:26 PDT 2019,Thu Sep 19 12:18:17 PDT 2019,,,1299,100% (6/6),100% (1/1),100% (1/1),G3ZLnJdvG,,
3PGQRAZX02USV3UQZORI04Z47MCSYX,3MCFX9UVS0URJRDU8ZV1L2829T3867,Look at a series of images and answer some multiple-choice questions (please only do this HIT once!),Read a short story and answer several multiple-choice questions (HIT takes around 3 minutes),"psychology, cognitive, science, research, yale, university, fun, thinking",$0.45 ,Mon Sep 16 11:53:57 PDT 2019,10,BatchId:3769218;OriginalHitTemplateId:920937340;,7200,259200,Mon Sep 23 11:53:57 PDT 2019,,,3F0BG9B9MQX8ZP8S1NY8UXYUS17Y7U,X,Approved,Mon Sep 16 11:57:10 PDT 2019,Mon Sep 16 12:56:43 PDT 2019,Thu Sep 19 12:56:43 PDT 2019,Thu Sep 19 12:57:17 PDT 2019,,,3573,100% (4/4),100% (1/1),100% (1/1),G3QedRydo,,
3PGQRAZX02USV3UQZORI04Z47MCSYX,3MCFX9UVS0URJRDU8ZV1L2829T3867,Look at a series of images and answer some multiple-choice questions (please only do this HIT once!),Read a short story and answer several multiple-choice questions (HIT takes around 3 minutes),"psychology, cognitive, science, research, yale, university, fun, thinking",$0.45 ,Mon Sep 16 11:53:57 PDT 2019,10,BatchId:3769218;OriginalHitTemplateId:920937340;,7200,259200,Mon Sep 23 11:53:57 PDT 2019,,,3T3IWE1XG7XMOLEDNGKFM7NAIPHTQY,X,Approved,Mon Sep 16 11:57:51 PDT 2019,Mon Sep 16 11:59:10 PDT 2019,Thu Sep 19 11:59:10 PDT 2019,Thu Sep 19 11:59:18 PDT 2019,,,79,88% (7/8),100% (1/1),100% (1/1),G3hSn4fIQ,,
3PGQRAZX02USV3UQZORI04Z47MCSYX,3MCFX9UVS0URJRDU8ZV1L2829T3867,Look at a series of images and answer some multiple-choice questions (please only do this HIT once!),Read a short story and answer several multiple-choice questions (HIT takes around 3 minutes),"psychology, cognitive, science, research, yale, university, fun, thinking",$0.45 ,Mon Sep 16 11:53:57 PDT 2019,10,BatchId:3769218;OriginalHitTemplateId:920937340;,7200,259200,Mon Sep 23 11:53:57 PDT 2019,,,3U088ZLJVL3QS9D81NVBUL3R9F20WY,X,Approved,Mon Sep 16 11:55:48 PDT 2019,Mon Sep 16 11:59:12 PDT 2019,Thu Sep 19 11:59:12 PDT 2019,Thu Sep 19 11:59:18 PDT 2019,,,204,100% (4/4),100% (2/2),100% (2/2),G3jnjVGod,,
3PGQRAZX02USV3UQZORI04Z47MCSYX,3MCFX9UVS0URJRDU8ZV1L2829T3867,Look at a series of images and answer some multiple-choice questions (please only do this HIT once!),Read a short story and answer several multiple-choice questions (HIT takes around 3 minutes),"psychology, cognitive, science, research, yale, university, fun, thinking",$0.45 ,Mon Sep 16 11:53:57 PDT 2019,10,BatchId:3769218;OriginalHitTemplateId:920937340;,7200,259200,Mon Sep 23 11:53:57 PDT 2019,,,3WMOAN2SRC7GYG5ACJSDJVGQAZAVNT,X,Approved,Mon Sep 16 11:55:47 PDT 2019,Mon Sep 16 13:17:50 PDT 2019,Thu Sep 19 13:17:50 PDT 2019,Thu Sep 19 13:18:17 PDT 2019,,,4923,100% (3/3),100% (1/1),100% (1/1),G32WMjhEK,,
