participant,condition,object,side,costlier,possible,response,age
0,low,plant,left,unmodified,1,0,NA
1,none,cinderblocks,left,modified,1,1,NA
2,none,tape,left,equal,1,1,NA
3,none,plant,left,equal,0,1,NA
4,none,chair,right,modified,1,1,NA
5,low,rulers,left,modified,1,1,NA
6,none,plant,right,modified,1,0,NA
7,low,hat,right,modified,1,1,NA
8,low,tape,left,modified,1,1,NA
9,low,tape,left,modified,1,1,NA
10,none,string,left,equal,1,0,NA
11,low,hat,right,equal,1,0,NA
12,low,cinderblocks,right,modified,1,1,NA
13,low,chair,left,modified,1,1,NA
14,none,string,right,equal,1,0,NA
15,none,plant,left,equal,1,0,NA
16,low,books,left,modified,1,1,NA
17,none,chair,right,equal,1,1,NA
18,none,tape,left,equal,1,1,NA
19,low,rulers,right,modified,1,1,NA
20,none,chair,left,modified,1,1,NA
21,low,cinderblocks,right,modified,1,1,NA
22,low,plant,left,unmodified,1,1,NA
23,none,cinderblocks,right,modified,1,1,NA
24,low,cinderblocks,left,modified,1,1,NA
25,none,plant,left,equal,1,0,NA
26,low,tape,left,modified,1,1,NA
27,none,plant,right,equal,1,0,NA
28,none,string,right,equal,1,1,NA
29,none,books,right,equal,1,0,NA
30,low,books,right,modified,1,1,NA
31,none,cinderblocks,right,equal,0,1,NA
32,none,chair,right,unmodified,1,1,NA
33,none,chair,right,equal,1,1,NA
34,none,string,left,equal,1,1,NA
35,low,plant,left,modified,1,1,NA
36,low,rulers,right,modified,1,1,NA
37,low,books,right,modified,1,1,NA
38,low,plant,right,modified,0,1,NA
39,low,chair,right,modified,1,1,NA
40,none,string,right,unmodified,0,1,NA
41,none,string,right,equal,1,1,NA
42,none,rulers,left,equal,1,1,NA
43,low,tape,left,modified,0,1,NA
44,low,string,right,modified,1,1,NA
45,none,tape,left,modified,1,1,NA
46,none,chair,left,modified,1,0,NA
47,low,string,right,modified,1,1,NA
48,none,tape,left,equal,1,1,NA
49,low,rulers,right,modified,1,1,NA
50,low,string,left,modified,1,1,NA
51,low,string,right,modified,1,1,NA
52,low,cinderblocks,right,modified,1,1,NA
53,low,books,left,modified,1,1,NA
54,low,cinderblocks,right,modified,1,1,NA
55,none,rulers,left,equal,1,1,NA
56,low,cinderblocks,right,unmodified,1,1,NA
57,none,plant,right,equal,1,0,NA
58,none,rulers,right,equal,1,0,NA
59,low,string,right,unmodified,1,1,NA
60,none,rulers,right,equal,1,0,NA
61,low,tape,left,modified,1,1,NA
62,none,cinderblocks,left,modified,1,1,NA
63,none,tape,right,equal,1,1,NA
64,low,hat,right,modified,1,0,NA
65,none,books,left,equal,1,0,NA
66,low,chair,right,modified,1,0,NA
67,none,chair,left,modified,1,1,NA
68,none,plant,right,unmodified,1,1,NA
69,none,plant,left,equal,1,0,NA
70,none,tape,left,equal,1,1,NA
71,none,tape,right,modified,1,0,NA
72,low,cinderblocks,right,modified,1,1,NA
73,none,tape,left,equal,1,1,NA
74,none,hat,right,unmodified,1,0,NA
75,none,hat,right,equal,1,0,NA
76,none,books,left,equal,1,0,NA
77,low,hat,right,modified,1,1,NA
78,none,books,right,equal,1,1,NA
79,none,cinderblocks,right,equal,1,0,NA
80,low,rulers,left,modified,0,1,NA
81,low,plant,left,modified,1,0,NA
82,none,hat,left,equal,1,1,NA
83,none,string,left,equal,1,1,NA
84,low,books,right,modified,1,0,NA
85,low,hat,left,modified,1,1,NA
86,none,plant,right,modified,1,0,NA
87,low,rulers,left,modified,1,1,NA
88,none,hat,left,equal,1,0,NA
89,none,books,right,equal,1,0,NA
90,none,tape,right,unmodified,0,1,NA
91,low,books,left,equal,1,1,NA
92,low,books,left,modified,1,0,NA
93,none,tape,right,unmodified,0,1,NA
94,none,hat,right,modified,1,1,NA
95,none,tape,right,modified,1,0,NA
96,low,tape,right,equal,1,1,NA
97,none,string,right,equal,1,0,NA
98,low,chair,left,modified,1,1,NA
99,low,tape,right,modified,0,1,NA
100,low,cinderblocks,left,modified,1,1,NA
101,low,rulers,right,modified,1,1,NA
102,none,cinderblocks,left,modified,1,1,NA
103,none,hat,right,modified,1,1,NA
104,none,rulers,right,equal,1,1,NA
105,low,hat,right,modified,1,1,NA
106,low,string,right,modified,1,1,NA
107,low,cinderblocks,right,unmodified,0,1,NA
108,low,books,left,modified,1,1,NA
