workerid,language,enjoyment,gender,age,problems,comments,asses,fairprice,education
0,"""English""","""1""","""Male""","""46""","""no""","""""","""Yes""",""".75""","""3"""
1,"""English""","""2""","""Male""","""27""","""""","""""","""Yes""","""0.30""","""4"""
2,"""English""","""1""","""Male""","""27""","""nope""","""""","""Yes""","""$0.30""","""3"""
3,"""English""","""2""","""Female""","""48""","""No""","""""","""Yes""",""".30""","""3"""
4,"""English""","""1""","""Male""","""28""","""No""","""""","""Yes""","""0.30""","""3"""
5,"""English""","""1""","""Female""","""36""","""no problems""","""""","""Yes""",""".30""","""3"""
6,"""english""","""2""","""Female""","""54""","""none""","""""","""Yes""","""yes""","""3"""
7,"""english""","""2""","""Male""","""27""","""nope""","""""","""Yes""","""the price it was""","""2"""
8,"""English""","""2""","""Male""","""52""","""No problems or bugs in the experiment ""","""Thanks for the opportunity to participate and good luck with your research!""","""Yes""","""0.30""","""4"""
9,"""English""","""1""","""Male""","""29""","""""","""""","""Yes""",""".30""","""3"""
10,"""English""","""2""","""Male""","""39""","""no""","""""","""Yes""",""".30""","""3"""
11,"""English""","""2""","""Male""","""27""","""I didn&quotechart encounter any issues""","""""","""Yes""","""It seems pretty fair, yes""","""2"""
12,"""English""","""2""","""Female""","""32""","""N/A""","""It was quite interesting and I think the pay was fair.""","""Yes""","""$.30""","""2"""
13,"""English""","""1""","""Male""","""36""","""No.""","""""","""Yes""","""0.30""","""4"""
14,"""English ""","""2""","""Male""","""27""","""no""","""it is nice and interesting.""","""Yes""","""price ""","""3"""
15,"""English""","""2""","""Female""","""31""","""None""","""Fun and easy. Thanks! :)""","""Yes""","""Yes""","""3"""
16,"""English""","""2""","""Male""","""42""","""None""","""None thanks.""","""Yes""",""".30""","""2"""
