feedback	assignments	workerid	Answer.system	creationtime	Answer.time_in_minutes	deadline	viewhit	keywords	Answer.trials	assignmentduration	title	assignmentapprovaltime	reject	assignmentstatus	hitlifetime	numpending	description	assignmentid	Answer.setup	assignmentaccepttime	numavailable	numcomplete	assignmentsubmittime	annotation	Answer.subject_information	reviewstatus	autoapprovaltime	hitstatus	autoapprovaldelay	hittypeid	assignmentrejecttime	reward	hitid
	1	0	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":1440,""screenW"":2560}"	Wed Jan 02 13:57:01 EST 2019	1.416833333		https://requester.mturk.com/mturk/manageHIT?HITId=308KJXFUJRGSEL928IIS7NDJTNPAT1	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""exclusion_num"": 1, ""target"": ""1""}, {""exclusion_num"": 2, ""target"": ""0""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Thu Jan 03 13:57:01 EST 2019	0	Guess what someone else wants you to choose	3X31TUMD7YWAO4MRTSS9ZF5K8DL1L6	"{""condition"":""low"",""side"":""left"",""object"":""chair"",""doors"":""open""}"	Wed Jan 02 14:58:02 EST 2019	0	0	Wed Jan 02 15:01:01 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""1"",""asses"":""Yes"",""age"":""46"",""gender"":""Male"",""education"":""3"",""problems"":""no"",""fairprice"":"".75"",""comments"":""""}"	NotReviewed	Thu Jan 03 15:01:01 EST 2019	Reviewable	86400	3YT1BAKETIZSM8WSQZOG4FSI7GWHPC		$0.30 	308KJXFUJRGSEL928IIS7NDJTNPAT1
	2	1	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":1080,""screenW"":1920}"	Wed Jan 02 15:21:37 EST 2019	1.629466667		https://requester.mturk.com/mturk/manageHIT?HITId=335VBRURDJACKJH0QHFXC62YKVM9EX	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""exclusion_num"": 1, ""target"": ""1""}, {""exclusion_num"": 2, ""target"": ""0""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Thu Jan 03 15:21:37 EST 2019	0	Guess what someone else wants you to choose	3HRMW88U170UNXJUXLPOLN1Z3R8M0V	"{""condition"":""low"",""side"":""left"",""object"":""cinderblocks"",""doors"":""open""}"	Wed Jan 02 15:21:44 EST 2019	0	0	Wed Jan 02 15:23:25 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""27"",""gender"":""Male"",""education"":""4"",""problems"":"""",""fairprice"":""0.30"",""comments"":""""}"	NotReviewed	Thu Jan 03 15:23:25 EST 2019	Reviewable	86400	3YT1BAKETIZSM8WSQZOG4FSI7GWHPC		$0.30 	335VBRURDJACKJH0QHFXC62YKVM9EX
	2	2	"{""Browser"":""Firefox"",""OS"":""Windows"",""screenH"":768,""screenW"":1366}"	Wed Jan 02 15:21:37 EST 2019	1.770466667		https://requester.mturk.com/mturk/manageHIT?HITId=335VBRURDJACKJH0QHFXC62YKVM9EX	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""exclusion_num"": 1, ""target"": ""1""}, {""exclusion_num"": 2, ""target"": ""0""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Thu Jan 03 15:21:37 EST 2019	0	Guess what someone else wants you to choose	3YMTUJH0DTQFZGRFPJD2J4M4EBK4TU	"{""condition"":""low"",""side"":""left"",""object"":""cinderblocks"",""doors"":""open""}"	Wed Jan 02 15:21:44 EST 2019	0	0	Wed Jan 02 15:23:51 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""1"",""asses"":""Yes"",""age"":""27"",""gender"":""Male"",""education"":""3"",""problems"":""nope"",""fairprice"":""$0.30"",""comments"":""""}"	NotReviewed	Thu Jan 03 15:23:51 EST 2019	Reviewable	86400	3YT1BAKETIZSM8WSQZOG4FSI7GWHPC		$0.30 	335VBRURDJACKJH0QHFXC62YKVM9EX
	1	3	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":1050,""screenW"":1680}"	Wed Jan 02 15:39:49 EST 2019	0.9831		https://requester.mturk.com/mturk/manageHIT?HITId=37VUR2VJ6AZFYGURQDU97CKC17M1CO	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""exclusion_num"": 1, ""target"": ""1""}, {""exclusion_num"": 2, ""target"": ""0""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Thu Jan 03 15:39:49 EST 2019	0	Guess what someone else wants you to choose	3DL65MZB8EPG51MXS3UP3GYR3EGCER	"{""condition"":""low"",""side"":""left"",""object"":""plant"",""doors"":""closed""}"	Wed Jan 02 15:39:52 EST 2019	0	0	Wed Jan 02 15:49:13 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""48"",""gender"":""Female"",""education"":""3"",""problems"":""No"",""fairprice"":"".30"",""comments"":""""}"	NotReviewed	Thu Jan 03 15:49:13 EST 2019	Reviewable	86400	3YT1BAKETIZSM8WSQZOG4FSI7GWHPC		$0.30 	37VUR2VJ6AZFYGURQDU97CKC17M1CO
	1	4	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":768,""screenW"":1366}"	Wed Jan 02 15:57:51 EST 2019	1.89255		https://requester.mturk.com/mturk/manageHIT?HITId=3U18MJKL1UWICN1GV0S74JXF48RCN7	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""exclusion_num"": 1, ""target"": ""0""}, {""exclusion_num"": 2, ""target"": ""0""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Thu Jan 03 15:57:51 EST 2019	0	Guess what someone else wants you to choose	3KV0LJBBH3VINR3TRY835J2MCHCMRY	"{""condition"":""low"",""side"":""right"",""object"":""rulers"",""doors"":""open""}"	Wed Jan 02 15:57:52 EST 2019	0	0	Wed Jan 02 16:00:38 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""1"",""asses"":""Yes"",""age"":""28"",""gender"":""Male"",""education"":""3"",""problems"":""No"",""fairprice"":""0.30"",""comments"":""""}"	NotReviewed	Thu Jan 03 16:00:38 EST 2019	Reviewable	86400	3YT1BAKETIZSM8WSQZOG4FSI7GWHPC		$0.30 	3U18MJKL1UWICN1GV0S74JXF48RCN7
	1	5	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":900,""screenW"":1600}"	Wed Jan 02 16:10:06 EST 2019	2.495566667		https://requester.mturk.com/mturk/manageHIT?HITId=3MJ28H2Y1EIFVNSDH55C52RA21AO5Q	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""exclusion_num"": 1, ""target"": ""1""}, {""exclusion_num"": 2, ""target"": ""0""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Thu Jan 03 16:10:06 EST 2019	0	Guess what someone else wants you to choose	3TVRFO09GLPIE57K0LDGUO9LDT8XL4	"{""condition"":""low"",""side"":""left"",""object"":""rulers"",""doors"":""open""}"	Wed Jan 02 16:10:19 EST 2019	0	0	Wed Jan 02 16:13:55 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""1"",""asses"":""Yes"",""age"":""36"",""gender"":""Female"",""education"":""3"",""problems"":""no problems"",""fairprice"":"".30"",""comments"":""""}"	NotReviewed	Thu Jan 03 16:13:55 EST 2019	Reviewable	86400	3YT1BAKETIZSM8WSQZOG4FSI7GWHPC		$0.30 	3MJ28H2Y1EIFVNSDH55C52RA21AO5Q
	1	6	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":900,""screenW"":1600}"	Wed Jan 02 17:09:15 EST 2019	1.45295		https://requester.mturk.com/mturk/manageHIT?HITId=3YLTXLH3DFG9WGO9X7J0JZZQHF2PHU	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""exclusion_num"": 1, ""target"": ""0""}, {""exclusion_num"": 2, ""target"": ""0""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Thu Jan 03 17:09:15 EST 2019	0	Guess what someone else wants you to choose	33FBRBDW6P9ZW0C6F08PB625SBVC85	"{""condition"":""low"",""side"":""left"",""object"":""fishbowl"",""doors"":""closed""}"	Wed Jan 02 18:10:11 EST 2019	0	0	Wed Jan 02 18:12:00 EST 2019	1 cond	"{""language"":""english"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""54"",""gender"":""Female"",""education"":""3"",""problems"":""none"",""fairprice"":""yes"",""comments"":""""}"	NotReviewed	Thu Jan 03 18:12:00 EST 2019	Reviewable	86400	3YT1BAKETIZSM8WSQZOG4FSI7GWHPC		$0.30 	3YLTXLH3DFG9WGO9X7J0JZZQHF2PHU
	1	7	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":1080,""screenW"":1920}"	Wed Jan 02 19:43:39 EST 2019	1.029883333		https://requester.mturk.com/mturk/manageHIT?HITId=3RTFSSG7T8G12L400ECT3L0TRTPLW3	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""0""}, {""exclusion_num"": 1, ""target"": ""1""}, {""exclusion_num"": 2, ""target"": ""0""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Thu Jan 03 19:43:39 EST 2019	0	Guess what someone else wants you to choose	378XPAWRUDN4SRRL48OPI06VV5GAIC	"{""condition"":""low"",""side"":""right"",""object"":""fishbowl"",""doors"":""closed""}"	Wed Jan 02 20:44:32 EST 2019	0	0	Wed Jan 02 21:26:06 EST 2019	1 cond	"{""language"":""english"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""27"",""gender"":""Male"",""education"":""2"",""problems"":""nope"",""fairprice"":""the price it was"",""comments"":""""}"	NotReviewed	Thu Jan 03 21:26:06 EST 2019	Reviewable	86400	3YT1BAKETIZSM8WSQZOG4FSI7GWHPC		$0.30 	3RTFSSG7T8G12L400ECT3L0TRTPLW3
	2	8	"{""Browser"":""Safari"",""OS"":""iPhone/iPod"",""screenH"":667,""screenW"":375}"	Wed Jan 02 18:33:55 EST 2019	2.76765		https://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZNCWNWU1FKRA9PE42E40Q	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""0""}, {""exclusion_num"": 1, ""target"": ""2""}, {""exclusion_num"": 2, ""target"": ""0""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Thu Jan 03 18:33:55 EST 2019	0	Guess what someone else wants you to choose	3YT88D1N098VE1IOVWUR8872HZWK3K	"{""condition"":""none"",""side"":""right"",""object"":""chair"",""doors"":""open""}"	Wed Jan 02 18:33:58 EST 2019	0	0	Wed Jan 02 19:15:54 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""52"",""gender"":""Male"",""education"":""4"",""problems"":""No problems or bugs in the experiment "",""fairprice"":""0.30"",""comments"":""Thanks for the opportunity to participate and good luck with your research!""}"	NotReviewed	Thu Jan 03 19:15:54 EST 2019	Reviewable	86400	3YT1BAKETIZSM8WSQZOG4FSI7GWHPC		$0.30 	337F8MIIMZNCWNWU1FKRA9PE42E40Q
	2	9	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":1080,""screenW"":1920}"	Wed Jan 02 18:33:55 EST 2019	3.829733333		https://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZNCWNWU1FKRA9PE42E40Q	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""exclusion_num"": 1, ""target"": ""2""}, {""exclusion_num"": 2, ""target"": ""0""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Thu Jan 03 18:33:55 EST 2019	0	Guess what someone else wants you to choose	33CUSNVVNOMXKXMTYOSK9K6M2LU88H	"{""condition"":""none"",""side"":""right"",""object"":""chair"",""doors"":""open""}"	Wed Jan 02 18:33:58 EST 2019	0	0	Wed Jan 02 19:20:00 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""1"",""asses"":""Yes"",""age"":""29"",""gender"":""Male"",""education"":""3"",""problems"":"""",""fairprice"":"".30"",""comments"":""""}"	NotReviewed	Thu Jan 03 19:20:00 EST 2019	Reviewable	86400	3YT1BAKETIZSM8WSQZOG4FSI7GWHPC		$0.30 	337F8MIIMZNCWNWU1FKRA9PE42E40Q
	1	10	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":1080,""screenW"":1920}"	Wed Jan 02 21:33:42 EST 2019	1.032183333		https://requester.mturk.com/mturk/manageHIT?HITId=3VO4XFFP15WX33JCKBCDSR068867QF	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""exclusion_num"": 1, ""target"": ""1""}, {""exclusion_num"": 2, ""target"": ""0""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Thu Jan 03 21:33:42 EST 2019	0	Guess what someone else wants you to choose	3NLZY2D53QZY5868E7IO0GDSGR2LQE	"{""condition"":""none"",""side"":""right"",""object"":""hat"",""doors"":""closed""}"	Wed Jan 02 21:33:43 EST 2019	0	0	Wed Jan 02 21:36:13 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""39"",""gender"":""Male"",""education"":""3"",""problems"":""no"",""fairprice"":"".30"",""comments"":""""}"	NotReviewed	Thu Jan 03 21:36:13 EST 2019	Reviewable	86400	3YT1BAKETIZSM8WSQZOG4FSI7GWHPC		$0.30 	3VO4XFFP15WX33JCKBCDSR068867QF
	1	11	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":1024,""screenW"":1280}"	Wed Jan 02 21:47:33 EST 2019	1.21995		https://requester.mturk.com/mturk/manageHIT?HITId=3R0WOCG21MJ5C5R3SXZ42K7RX4GDUK	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""0""}, {""exclusion_num"": 1, ""target"": ""2""}, {""exclusion_num"": 2, ""target"": ""0""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Thu Jan 03 21:47:33 EST 2019	0	Guess what someone else wants you to choose	3TXD01ZLD5RUZT64PO3CO086XQG4UC	"{""condition"":""none"",""side"":""right"",""object"":""plant"",""doors"":""closed""}"	Wed Jan 02 21:47:42 EST 2019	0	0	Wed Jan 02 21:54:05 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""27"",""gender"":""Male"",""education"":""2"",""problems"":""I didn't encounter any issues"",""fairprice"":""It seems pretty fair, yes"",""comments"":""""}"	NotReviewed	Thu Jan 03 21:54:05 EST 2019	Reviewable	86400	3YT1BAKETIZSM8WSQZOG4FSI7GWHPC		$0.30 	3R0WOCG21MJ5C5R3SXZ42K7RX4GDUK
	1	12	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":768,""screenW"":1366}"	Wed Jan 02 22:04:58 EST 2019	1.447333333		https://requester.mturk.com/mturk/manageHIT?HITId=3IVEC1GSLP926U0X05BVUGX7RRF1JM	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""0""}, {""exclusion_num"": 1, ""target"": ""2""}, {""exclusion_num"": 2, ""target"": ""0""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Thu Jan 03 22:04:58 EST 2019	0	Guess what someone else wants you to choose	3EG49X351VM0VK4DDH7E55RONZ4X6J	"{""condition"":""none"",""side"":""left"",""object"":""rulers"",""doors"":""open""}"	Wed Jan 02 22:05:00 EST 2019	0	0	Wed Jan 02 22:11:38 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""32"",""gender"":""Female"",""education"":""2"",""problems"":""N/A"",""fairprice"":""$.30"",""comments"":""It was quite interesting and I think the pay was fair.""}"	NotReviewed	Thu Jan 03 22:11:38 EST 2019	Reviewable	86400	3YT1BAKETIZSM8WSQZOG4FSI7GWHPC		$0.30 	3IVEC1GSLP926U0X05BVUGX7RRF1JM
	2	13	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":864,""screenW"":1536}"	Wed Jan 02 22:59:00 EST 2019	1.014066667		https://requester.mturk.com/mturk/manageHIT?HITId=3MJ28H2Y1EIFVNSDH55C52RA21W5OT	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""0""}, {""exclusion_num"": 1, ""target"": ""2""}, {""exclusion_num"": 2, ""target"": ""0""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Thu Jan 03 22:59:00 EST 2019	0	Guess what someone else wants you to choose	3180JW2OT5M3HWZARUI8MQ59G6M5JV	"{""condition"":""none"",""side"":""right"",""object"":""fishbowl"",""doors"":""closed""}"	Wed Jan 02 22:59:10 EST 2019	0	0	Wed Jan 02 23:42:58 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""1"",""asses"":""Yes"",""age"":""36"",""gender"":""Male"",""education"":""4"",""problems"":""No."",""fairprice"":""0.30"",""comments"":""""}"	NotReviewed	Thu Jan 03 23:42:58 EST 2019	Reviewable	86400	3YT1BAKETIZSM8WSQZOG4FSI7GWHPC		$0.30 	3MJ28H2Y1EIFVNSDH55C52RA21W5OT
