trial_num,door,cost,object,target,unique_id,age
1,closed,none,plant,0.01,61007f77e077b684a64c4816,20
2,open,low,chair,0.28,61007f77e077b684a64c4816,20
1,open,none,chair,0,6031809822a1fb0f1b0cf069,21
2,open,low,books,0.31,6031809822a1fb0f1b0cf069,21
1,open,none,books,0.63,61198c019cfbff22ec48cb06,20
2,open,low,cinderblocks,0.97,61198c019cfbff22ec48cb06,20
1,open,none,cinderblocks,0.37,61157d9bcc5084cae1e75a86,22
2,closed,low,tape,0.83,61157d9bcc5084cae1e75a86,22
1,closed,none,tape,0.47,5e20fcf1a43e90000bf7181b,36
2,open,low,rulers,0.44,5e20fcf1a43e90000bf7181b,36
1,open,none,rulers,0.13,6132b7a66a2170fac37263c7,20
2,closed,low,hat,0.55,6132b7a66a2170fac37263c7,20
1,closed,none,hat,0.15,60ff71829e826cb65271c374,26
2,closed,low,string,0.98,60ff71829e826cb65271c374,26
1,closed,none,string,0.28,5e9aab51c4069d142edcca43,35
2,closed,low,plant,0.64,5e9aab51c4069d142edcca43,35
1,closed,none,plant,0.12,61523e2880b86e2cf93e85c3,63
2,open,low,chair,0.15,61523e2880b86e2cf93e85c3,63
1,open,none,books,0.31,61030ddc991c249c718415b4,19
2,open,low,cinderblocks,0.95,61030ddc991c249c718415b4,19
1,open,none,chair,0.24,623666be98139b323ce77f86,45
2,open,low,books,0.54,623666be98139b323ce77f86,45
1,open,none,cinderblocks,0.12,60fd09e682f189df99fb676c,26
2,closed,low,tape,0,60fd09e682f189df99fb676c,26
1,closed,none,tape,0.33,5ac5374da3ba7a0001b4a75f,41
2,open,low,rulers,0.65,5ac5374da3ba7a0001b4a75f,41
1,open,none,rulers,0.5,610760b021519d5bff12bcd7,45
2,closed,low,hat,0.58,610760b021519d5bff12bcd7,45
1,closed,none,hat,0.01,60a48866cb601d523c7146bc,60
2,closed,low,string,0.98,60a48866cb601d523c7146bc,60
1,open,none,chair,0.07,60fddeb6dfaa94f6424e0916,19
2,open,low,books,0.84,60fddeb6dfaa94f6424e0916,19
1,open,none,books,0.19,605018868f1f99361db414fb,20
2,open,low,cinderblocks,0.88,605018868f1f99361db414fb,20
1,closed,none,string,0.47,56cb15ad64c068000b4d7ca5,26
2,closed,low,plant,0.17,56cb15ad64c068000b4d7ca5,26
1,closed,none,plant,0.05,5d90c4fadf90b6001549561e,52
2,open,low,chair,0.17,5d90c4fadf90b6001549561e,52
1,open,none,cinderblocks,0.67,5f7a0bc4853bd46503a27113,25
2,closed,low,tape,0.79,5f7a0bc4853bd46503a27113,25
1,open,none,rulers,1,60f66877a0a732b6dbe3485d,36
2,closed,low,hat,1,60f66877a0a732b6dbe3485d,36
1,closed,none,hat,0.29,61112ae331af5e3d36ba3c67,19
2,closed,low,string,0.98,61112ae331af5e3d36ba3c67,19
1,closed,none,tape,0.6,61648e1fb6b5b390ab3e4341,36
2,open,low,rulers,0.84,61648e1fb6b5b390ab3e4341,36
1,closed,none,plant,0.1,60bd2dac3b83db2d6cafbdb5,24
2,open,low,chair,0.94,60bd2dac3b83db2d6cafbdb5,24
1,open,none,books,0.56,5d14e8b5bc2e6f001b048c50,21
2,open,low,cinderblocks,0.95,5d14e8b5bc2e6f001b048c50,21
1,closed,none,string,0.97,6127d9b94dccb10213a1e2be,33
2,closed,low,plant,0.37,6127d9b94dccb10213a1e2be,33
1,open,none,chair,0.25,606cba49bb285f26a3afee25,61
2,open,low,books,0.73,606cba49bb285f26a3afee25,61
1,closed,none,tape,0.4,600473adcef0ed5bbd905567,48
2,open,low,rulers,0.99,600473adcef0ed5bbd905567,48
1,closed,none,hat,0.54,6110a2a404efd7b3306d7917,30
2,closed,low,string,1,6110a2a404efd7b3306d7917,30
1,open,none,cinderblocks,0,5f6a545fdca6c40ffe5fd6fa,44
2,closed,low,tape,0.58,5f6a545fdca6c40ffe5fd6fa,44
1,open,none,rulers,0.64,60fdd09f097f493c4ededc00,20
2,closed,low,hat,0.31,60fdd09f097f493c4ededc00,20
1,closed,none,string,0.96,5ef7ae31033dea4dde0b24de,90
2,closed,low,plant,0.95,5ef7ae31033dea4dde0b24de,90
1,open,none,chair,0.06,5e9a90794a7e88127a8fe01e,21
2,open,low,books,0.63,5e9a90794a7e88127a8fe01e,21
1,closed,none,plant,0,5baec6c108a10b000139cce8,21
2,open,low,chair,1,5baec6c108a10b000139cce8,21
1,open,none,cinderblocks,0.5,616326a20970334859e5230d,22
2,closed,low,tape,0.79,616326a20970334859e5230d,22
1,closed,none,tape,0.1,60ebbdd7a4f2acdb9a9769e5,33
2,open,low,rulers,0.05,60ebbdd7a4f2acdb9a9769e5,33
1,closed,none,hat,0.33,5d37ace5ee3689001a4a40bb,22
2,closed,low,string,0.99,5d37ace5ee3689001a4a40bb,22
1,closed,none,string,0.66,5aa5b9c1f6dfdd0001eafc40,25
2,closed,low,plant,0.5,5aa5b9c1f6dfdd0001eafc40,25
1,open,none,books,0.27,5fda85f17ef234500fe72670,26
2,open,low,cinderblocks,0.97,5fda85f17ef234500fe72670,26
