feedback	assignments	workerid	Answer.system	creationtime	Answer.time_in_minutes	deadline	viewhit	keywords	Answer.trials	assignmentduration	title	assignmentapprovaltime	reject	assignmentstatus	hitlifetime	numpending	description	assignmentid	Answer.setup	assignmentaccepttime	numavailable	numcomplete	assignmentsubmittime	annotation	Answer.subject_information	reviewstatus	autoapprovaltime	hitstatus	autoapprovaldelay	hittypeid	assignmentrejecttime	reward	hitid
	3	0	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":1152,""screenW"":2048}"	Thu Jan 24 14:36:41 EST 2019	1.5691166666666667		https://requester.mturk.com/mturk/manageHIT?HITId=3LN3BXKGC05LGTQZPNFDQTVLW9RGWB	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""0""}, {""trial_num"": 2, ""target"": 0.97}, {""trial_num"": 3, ""target"": ""0""}, {""trial_num"": 4, ""target"": 1}, {""exclusion_num"": 1, ""target"": ""right""}, {""exclusion_num"": 2, ""target"": ""equal""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Fri Jan 25 14:36:41 EST 2019	0	Guess what someone else is trying to tell you	3TE3O85731ISGNZ0HGPJQAOO879R2I	"{""condition"":""incongruent"",""first_side"":""right"",""second_side"":""right"",""first_object"":""fishbowl"",""second_object"":""hat"",""doors"":""closed""}"	Thu Jan 24 14:38:52 EST 2019	0	0	Thu Jan 24 14:40:28 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""1"",""asses"":""Yes"",""age"":""23"",""gender"":""Male"",""education"":""3"",""problems"":""No. "",""fairprice"":""Yes. "",""comments"":""""}"	NotReviewed	Fri Jan 25 14:40:28 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3LN3BXKGC05LGTQZPNFDQTVLW9RGWB
	3	1	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":768,""screenW"":1366}"	Thu Jan 24 14:36:41 EST 2019	3.0414333333333334		https://requester.mturk.com/mturk/manageHIT?HITId=3LN3BXKGC05LGTQZPNFDQTVLW9RGWB	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""0""}, {""trial_num"": 2, ""target"": 1}, {""trial_num"": 3, ""target"": ""0""}, {""trial_num"": 4, ""target"": 1}, {""exclusion_num"": 1, ""target"": ""left""}, {""exclusion_num"": 2, ""target"": ""left""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Fri Jan 25 14:36:41 EST 2019	0	Guess what someone else is trying to tell you	3VNL7UK1XGTPXWO4909LA8JV5WBTFH	"{""condition"":""incongruent"",""first_side"":""left"",""second_side"":""left"",""first_object"":""fishbowl"",""second_object"":""hat"",""doors"":""closed""}"	Thu Jan 24 14:55:09 EST 2019	0	0	Thu Jan 24 15:03:34 EST 2019	1 cond	"{""language"":""english"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""28"",""gender"":""Male"",""education"":""3"",""problems"":""no"",""fairprice"":""yes"",""comments"":""no""}"	NotReviewed	Fri Jan 25 15:03:34 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3LN3BXKGC05LGTQZPNFDQTVLW9RGWB
	3	2	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":768,""screenW"":1366}"	Thu Jan 24 14:36:41 EST 2019	2.188466666666667		https://requester.mturk.com/mturk/manageHIT?HITId=3LN3BXKGC05LGTQZPNFDQTVLW9RGWB	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""0""}, {""trial_num"": 2, ""target"": 0.81}, {""trial_num"": 3, ""target"": ""0""}, {""trial_num"": 4, ""target"": 0.74}, {""exclusion_num"": 1, ""target"": ""left""}, {""exclusion_num"": 2, ""target"": ""left""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Fri Jan 25 14:36:41 EST 2019	0	Guess what someone else is trying to tell you	31Z0PCVWULPCI39YRHB9MG6E78U7TT	"{""condition"":""incongruent"",""first_side"":""left"",""second_side"":""left"",""first_object"":""fishbowl"",""second_object"":""hat"",""doors"":""closed""}"	Thu Jan 24 14:54:07 EST 2019	0	0	Thu Jan 24 15:41:40 EST 2019	1 cond	"{""language"":""english"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""36"",""gender"":""Male"",""education"":""1"",""problems"":""no"",""fairprice"":""0.50"",""comments"":""no""}"	NotReviewed	Fri Jan 25 15:41:40 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3LN3BXKGC05LGTQZPNFDQTVLW9RGWB
	4	0	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":1440,""screenW"":2560}"	Thu Jan 24 14:36:47 EST 2019	1.38535		https://requester.mturk.com/mturk/manageHIT?HITId=3R5LWXWHR0I05TVPZSBZSC9S5BXGX4	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""trial_num"": 2, ""target"": 0.71}, {""trial_num"": 3, ""target"": ""1""}, {""trial_num"": 4, ""target"": 0.81}, {""exclusion_num"": 1, ""target"": ""left""}, {""exclusion_num"": 2, ""target"": ""equal""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Fri Jan 25 14:36:47 EST 2019	0	Guess what someone else is trying to tell you	36PW28KO406SCMPZ8PYYXL8356BAEV	"{""condition"":""incongruent"",""first_side"":""left"",""second_side"":""right"",""first_object"":""fishbowl"",""second_object"":""plant"",""doors"":""closed""}"	Thu Jan 24 14:36:53 EST 2019	0	0	Thu Jan 24 14:44:34 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""1"",""asses"":""Yes"",""age"":""23"",""gender"":""Male"",""education"":""2"",""problems"":"""",""fairprice"":""0.30"",""comments"":""""}"	NotReviewed	Fri Jan 25 14:44:34 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3R5LWXWHR0I05TVPZSBZSC9S5BXGX4
	4	1	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":768,""screenW"":1366}"	Thu Jan 24 14:36:47 EST 2019	2.5779		https://requester.mturk.com/mturk/manageHIT?HITId=3R5LWXWHR0I05TVPZSBZSC9S5BXGX4	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""0""}, {""trial_num"": 2, ""target"": 0.9}, {""trial_num"": 3, ""target"": ""0""}, {""trial_num"": 4, ""target"": 0.94}, {""exclusion_num"": 1, ""target"": ""right""}, {""exclusion_num"": 2, ""target"": ""left""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Fri Jan 25 14:36:47 EST 2019	0	Guess what someone else is trying to tell you	3E1QT0TDFQJQ93Y67A4BM9007BKI8A	"{""condition"":""incongruent"",""first_side"":""right"",""second_side"":""left"",""first_object"":""fishbowl"",""second_object"":""plant"",""doors"":""closed""}"	Thu Jan 24 14:53:14 EST 2019	0	0	Thu Jan 24 14:58:49 EST 2019	1 cond	"{""language"":"""",""enjoyment"":""1"",""asses"":""Yes"",""age"":""26"",""gender"":""Male"",""education"":""1"",""problems"":"""",""fairprice"":""0.35"",""comments"":""""}"	NotReviewed	Fri Jan 25 14:58:49 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3R5LWXWHR0I05TVPZSBZSC9S5BXGX4
	4	2	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":1080,""screenW"":1920}"	Thu Jan 24 14:36:47 EST 2019	3.0735166666666665		https://requester.mturk.com/mturk/manageHIT?HITId=3R5LWXWHR0I05TVPZSBZSC9S5BXGX4	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""trial_num"": 2, ""target"": 0.52}, {""trial_num"": 3, ""target"": ""1""}, {""trial_num"": 4, ""target"": 0.24}, {""exclusion_num"": 1, ""target"": ""right""}, {""exclusion_num"": 2, ""target"": ""equal""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Fri Jan 25 14:36:47 EST 2019	0	Guess what someone else is trying to tell you	3IAS3U3I0GQ50GIBLJ3TQVJKQLB2BL	"{""condition"":""incongruent"",""first_side"":""right"",""second_side"":""right"",""first_object"":""fishbowl"",""second_object"":""plant"",""doors"":""closed""}"	Thu Jan 24 15:06:41 EST 2019	0	0	Thu Jan 24 15:16:00 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""1"",""asses"":""Yes"",""age"":""31"",""gender"":""Male"",""education"":""2"",""problems"":"""",""fairprice"":""0.30"",""comments"":""""}"	NotReviewed	Fri Jan 25 15:16:00 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3R5LWXWHR0I05TVPZSBZSC9S5BXGX4
	4	3	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":864,""screenW"":1536}"	Thu Jan 24 14:36:47 EST 2019	1.4457		https://requester.mturk.com/mturk/manageHIT?HITId=3R5LWXWHR0I05TVPZSBZSC9S5BXGX4	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""trial_num"": 2, ""target"": 0.89}, {""trial_num"": 3, ""target"": ""0""}, {""trial_num"": 4, ""target"": 0.57}, {""exclusion_num"": 1, ""target"": ""right""}, {""exclusion_num"": 2, ""target"": ""equal""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Fri Jan 25 14:36:47 EST 2019	0	Guess what someone else is trying to tell you	33OOO72IVIVIUK4UIYJK22YS8JJCTP	"{""condition"":""incongruent"",""first_side"":""right"",""second_side"":""right"",""first_object"":""fishbowl"",""second_object"":""plant"",""doors"":""closed""}"	Thu Jan 24 15:35:27 EST 2019	0	0	Thu Jan 24 15:37:29 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""24"",""gender"":""Female"",""education"":""3"",""problems"":""No"",""fairprice"":""yes"",""comments"":""""}"	NotReviewed	Fri Jan 25 15:37:29 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3R5LWXWHR0I05TVPZSBZSC9S5BXGX4
	3	0	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":1080,""screenW"":1920}"	Thu Jan 24 14:36:52 EST 2019	1.4523833333333334		https://requester.mturk.com/mturk/manageHIT?HITId=3M67TQBQQHY9U60OACDBGNC70DT9A2	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""trial_num"": 2, ""target"": 1}, {""trial_num"": 3, ""target"": ""1""}, {""trial_num"": 4, ""target"": 0.77}, {""exclusion_num"": 1, ""target"": ""right""}, {""exclusion_num"": 2, ""target"": ""equal""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Fri Jan 25 14:36:52 EST 2019	0	Guess what someone else is trying to tell you	3OLF68YTNABKI0PV30I4F3T3H7QAFD	"{""condition"":""incongruent"",""first_side"":""left"",""second_side"":""right"",""first_object"":""fishbowl"",""second_object"":""tape"",""doors"":""closed""}"	Thu Jan 24 14:36:54 EST 2019	0	0	Thu Jan 24 14:39:34 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""28"",""gender"":""Male"",""education"":""3"",""problems"":""no"",""fairprice"":"".30-.50"",""comments"":""No""}"	NotReviewed	Fri Jan 25 14:39:34 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3M67TQBQQHY9U60OACDBGNC70DT9A2
	3	1	"{""Browser"":""Firefox"",""OS"":""Windows"",""screenH"":576,""screenW"":1024}"	Thu Jan 24 14:36:52 EST 2019	3.214		https://requester.mturk.com/mturk/manageHIT?HITId=3M67TQBQQHY9U60OACDBGNC70DT9A2	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""trial_num"": 2, ""target"": 0.52}, {""trial_num"": 3, ""target"": ""1""}, {""trial_num"": 4, ""target"": 0.49}, {""exclusion_num"": 1, ""target"": ""right""}, {""exclusion_num"": 2, ""target"": ""right""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Fri Jan 25 14:36:52 EST 2019	0	Guess what someone else is trying to tell you	3UWN2HHPUZF06OO6ION888WI54JSNY	"{""condition"":""incongruent"",""first_side"":""left"",""second_side"":""left"",""first_object"":""fishbowl"",""second_object"":""tape"",""doors"":""closed""}"	Thu Jan 24 14:36:54 EST 2019	0	0	Thu Jan 24 14:40:24 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""1"",""asses"":""Yes"",""age"":""35"",""gender"":""Male"",""education"":""3"",""problems"":""NA"",""fairprice"":""yes"",""comments"":""""}"	NotReviewed	Fri Jan 25 14:40:24 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3M67TQBQQHY9U60OACDBGNC70DT9A2
	3	2	"{""Browser"":""Chrome"",""OS"":""Linux"",""screenH"":768,""screenW"":1024}"	Thu Jan 24 14:36:52 EST 2019	1.9768333333333334		https://requester.mturk.com/mturk/manageHIT?HITId=3M67TQBQQHY9U60OACDBGNC70DT9A2	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""trial_num"": 2, ""target"": 0.92}, {""trial_num"": 3, ""target"": ""1""}, {""trial_num"": 4, ""target"": 0.72}, {""exclusion_num"": 1, ""target"": ""left""}, {""exclusion_num"": 2, ""target"": ""equal""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Fri Jan 25 14:36:52 EST 2019	0	Guess what someone else is trying to tell you	33JKGHPFYD4X8TB1YRRMWZXCDGIMNZ	"{""condition"":""incongruent"",""first_side"":""left"",""second_side"":""right"",""first_object"":""fishbowl"",""second_object"":""tape"",""doors"":""closed""}"	Thu Jan 24 16:37:21 EST 2019	0	0	Thu Jan 24 16:40:16 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""33"",""gender"":""Male"",""education"":""3"",""problems"":""no"",""fairprice"":""yes"",""comments"":""""}"	NotReviewed	Fri Jan 25 16:40:16 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3M67TQBQQHY9U60OACDBGNC70DT9A2
