participant,first_object,second_object,age,target,trial,condition,first_side,second_side,doors
161,books,books,29,0,trial_1,congruent,right,right,open
161,books,books,29,0.57,trial_2,congruent,right,right,open
161,books,books,29,0,trial_3,congruent,right,right,open
161,books,books,29,0.52,trial_4,congruent,right,right,open
161,books,books,29,right,exclusion_1,congruent,right,right,open
161,books,books,29,right,exclusion_2,congruent,right,right,open
162,chair,rulers,36,1,trial_1,incongruent,left,left,open
162,chair,rulers,36,0.81,trial_2,incongruent,left,left,open
162,chair,rulers,36,0,trial_3,incongruent,left,left,open
162,chair,rulers,36,0.72,trial_4,incongruent,left,left,open
162,chair,rulers,36,left,exclusion_1,incongruent,left,left,open
162,chair,rulers,36,equal,exclusion_2,incongruent,left,left,open
163,chair,chair,29,1,trial_1,congruent,left,left,open
163,chair,chair,29,1,trial_2,congruent,left,left,open
163,chair,chair,29,1,trial_3,congruent,left,left,open
163,chair,chair,29,1,trial_4,congruent,left,left,open
163,chair,chair,29,left,exclusion_1,congruent,left,left,open
163,chair,chair,29,equal,exclusion_2,congruent,left,left,open
165,cinderblocks,rulers,45,1,trial_1,incongruent,right,right,open
165,cinderblocks,rulers,45,1,trial_2,incongruent,right,right,open
165,cinderblocks,rulers,45,1,trial_3,incongruent,right,right,open
165,cinderblocks,rulers,45,0.99,trial_4,incongruent,right,right,open
165,cinderblocks,rulers,45,right,exclusion_1,incongruent,right,right,open
165,cinderblocks,rulers,45,equal,exclusion_2,incongruent,right,right,open
166,string,string,30,1,trial_1,congruent,left,right,closed
166,string,string,30,0.93,trial_2,congruent,left,right,closed
166,string,string,30,1,trial_3,congruent,left,right,closed
166,string,string,30,0.93,trial_4,congruent,left,right,closed
166,string,string,30,left,exclusion_1,congruent,left,right,closed
166,string,string,30,equal,exclusion_2,congruent,left,right,closed
168,string,tape,25,1,trial_1,incongruent,right,right,closed
168,string,tape,25,0.5,trial_2,incongruent,right,right,closed
168,string,tape,25,0,trial_3,incongruent,right,right,closed
168,string,tape,25,0.6,trial_4,incongruent,right,right,closed
168,string,tape,25,right,exclusion_1,incongruent,right,right,closed
168,string,tape,25,left,exclusion_2,incongruent,right,right,closed
169,string,tape,35,0,trial_1,incongruent,right,right,closed
169,string,tape,35,0.98,trial_2,incongruent,right,right,closed
169,string,tape,35,0,trial_3,incongruent,right,right,closed
169,string,tape,35,1,trial_4,incongruent,right,right,closed
169,string,tape,35,right,exclusion_1,incongruent,right,right,closed
169,string,tape,35,equal,exclusion_2,incongruent,right,right,closed
173,hat,hat,56,0,trial_1,congruent,right,left,closed
173,hat,hat,56,0.79,trial_2,congruent,right,left,closed
173,hat,hat,56,0,trial_3,congruent,right,left,closed
173,hat,hat,56,0.89,trial_4,congruent,right,left,closed
173,hat,hat,56,right,exclusion_1,congruent,right,left,closed
173,hat,hat,56,equal,exclusion_2,congruent,right,left,closed
176,plant,string,30,0,trial_1,incongruent,right,right,closed
176,plant,string,30,1,trial_2,incongruent,right,right,closed
176,plant,string,30,0,trial_3,incongruent,right,right,closed
176,plant,string,30,1,trial_4,incongruent,right,right,closed
176,plant,string,30,right,exclusion_1,incongruent,right,right,closed
176,plant,string,30,equal,exclusion_2,incongruent,right,right,closed
177,plant,hat,37,0,trial_1,incongruent,right,left,closed
177,plant,hat,37,0.66,trial_2,incongruent,right,left,closed
177,plant,hat,37,0,trial_3,incongruent,right,left,closed
177,plant,hat,37,0.66,trial_4,incongruent,right,left,closed
177,plant,hat,37,right,exclusion_1,incongruent,right,left,closed
177,plant,hat,37,equal,exclusion_2,incongruent,right,left,closed
178,rulers,books,36,1,trial_1,incongruent,right,left,open
178,rulers,books,36,0.8,trial_2,incongruent,right,left,open
178,rulers,books,36,0,trial_3,incongruent,right,left,open
178,rulers,books,36,0.13,trial_4,incongruent,right,left,open
178,rulers,books,36,right,exclusion_1,incongruent,right,left,open
178,rulers,books,36,equal,exclusion_2,incongruent,right,left,open
179,rulers,books,28,0,trial_1,incongruent,left,right,open
179,rulers,books,28,0.69,trial_2,incongruent,left,right,open
179,rulers,books,28,0,trial_3,incongruent,left,right,open
179,rulers,books,28,0.63,trial_4,incongruent,left,right,open
179,rulers,books,28,left,exclusion_1,incongruent,left,right,open
179,rulers,books,28,right,exclusion_2,incongruent,left,right,open
182,rulers,rulers,32,1,trial_1,congruent,left,right,open
182,rulers,rulers,32,0.84,trial_2,congruent,left,right,open
182,rulers,rulers,32,1,trial_3,congruent,left,right,open
182,rulers,rulers,32,0.89,trial_4,congruent,left,right,open
182,rulers,rulers,32,left,exclusion_1,congruent,left,right,open
182,rulers,rulers,32,equal,exclusion_2,congruent,left,right,open
183,rulers,rulers,44,1,trial_1,congruent,right,right,open
183,rulers,rulers,44,0.61,trial_2,congruent,right,right,open
183,rulers,rulers,44,1,trial_3,congruent,right,right,open
183,rulers,rulers,44,0.89,trial_4,congruent,right,right,open
183,rulers,rulers,44,right,exclusion_1,congruent,right,right,open
183,rulers,rulers,44,equal,exclusion_2,congruent,right,right,open
184,tape,string,34,1,trial_1,incongruent,left,left,closed
184,tape,string,34,1,trial_2,incongruent,left,left,closed
