workerid,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,first_object,second_object
0,"""ENGLISJ""","""1""","""Male""","""29""","""OPINIONS""","""""","""Yes""","""1.00""","""1""",books,books
0,"""English""","""2""","""Female""","""36""","""""","""""","""Yes""",""".50""","""4""",chair,rulers
0,"""English""","""2""","""Male""","""29""","""""","""""","""Yes""","""50 cents""","""3""",chair,chair
1,"""english""","""2""","""Female""","""31""","""""","""""","""Yes""",""".30""","""1""",chair,chair
0,"""English""","""1""","""Male""","""45""","""no""","""""","""Yes""","""yes""","""2""",cinderblocks,rulers
0,"""English""","""2""","""Female""","""30""","""no""","""Thank you""","""Yes""",""".50""","""3""",string,string
1,"""english""","""2""","""Female""","""31""","""""","""""","""Yes""",""".30""","""1""",string,string
0,"""enghlis""","""1""","""Female""","""25""","""""","""very goob""","""No""","""0.50""","""3""",string,tape
1,"""English""","""2""","""Female""","""35""","""no""","""None. Thank you!""","""Yes""","""yes""","""3""",string,tape
0,"""English""","""2""","""Female""","""26""","""nO""","""""","""Yes""","""0.30""","""3""",hat,string
1,"""English""","""2""","""Male""","""35""","""n/a""","""""","""Yes""",""".50""","""3""",hat,string
0,"""english""","""1""","""Male""","""28""","""no""","""""","""Yes""",""".50""","""3""",hat,plant
0,"""English""","""2""","""Female""","""56""","""no""","""none""","""Yes""","""50""","""3""",hat,hat
1,"""English""","""2""","""Male""","""26""","""None""","""""","""Yes""",""".30""","""2""",hat,hat
2,"""english""","""2""","""Female""","""30""","""no""","""""","""Yes""","""yes""","""2""",hat,hat
0,"""English""","""2""","""Male""","""30""","""""","""""","""Yes""",""".30""","""3""",plant,string
0,"""english""","""2""","""Male""","""37""","""none""","""no""","""Yes""","""yes""","""3""",plant,hat
0,"""english""","""1""","""Female""","""36""","""no""","""""","""Yes""",""".50""","""1""",rulers,books
1,"""english""","""2""","""Male""","""28""","""no problems""","""good""","""Yes""","""60""","""3""",rulers,books
0,"""english""","""1""","""Male""","""30""","""no""","""""","""Yes""","""not sure""","""1""",rulers,chair
0,"""English""","""1""","""Female""","""35""","""No problems.""","""""","""Yes""","""$.50""","""3""",rulers,rulers
1,"""English""","""2""","""Male""","""32""","""No issues.""","""No.""","""Yes""","""Yes.""","""2""",rulers,rulers
2,"""English""","""1""","""Female""","""44""","""No problems""","""no comments :)""","""Yes""",""".30""","""3""",rulers,rulers
0,"""English""","""2""","""Male""","""34""","""""","""""","""Yes""",""".50""","""4""",tape,string
0,"""english""","""1""","""Female""","""30""","""do not""","""very good""","""Yes""","""50""","""4""",tape,hat
1,"""Englishs""","""2""","""Female""","""52""","""""","""""","""Yes""",""".30""","""3""",tape,hat
0,"""english""","""2""","""Male""","""46""","""no problems""","""""","""Yes""","""$1 billion dollars (or 30 cents, your choice)""","""3""",tape,plant
0,"""Englih""","""1""","""Female""","""43""","""no""","""""","""Yes""","""yes""","""2""",tape,tape
