workerid,exclusion_num,trial_num,target,first_object,second_object
0,NA,1,"""1""",chair,chair
0,NA,2,0.82,chair,chair
0,NA,3,"""1""",chair,chair
0,NA,4,0.64,chair,chair
0,1,NA,"""right""",chair,chair
0,2,NA,"""equal""",chair,chair
0,NA,1,"""1""",string,string
0,NA,2,0.89,string,string
0,NA,3,"""1""",string,string
0,NA,4,0.76,string,string
0,1,NA,"""left""",string,string
0,2,NA,"""equal""",string,string
0,NA,1,"""0""",hat,string
0,NA,2,0.81,hat,string
0,NA,3,"""0""",hat,string
0,NA,4,0.66,hat,string
0,1,NA,"""equal""",hat,string
0,2,NA,"""equal""",hat,string
1,NA,1,"""0""",hat,string
1,NA,2,0.92,hat,string
1,NA,3,"""0""",hat,string
1,NA,4,0.89,hat,string
1,1,NA,"""left""",hat,string
1,2,NA,"""left""",hat,string
0,NA,1,"""0""",hat,plant
0,NA,2,0.86,hat,plant
0,NA,3,"""1""",hat,plant
0,NA,4,0.35,hat,plant
0,1,NA,"""right""",hat,plant
0,2,NA,"""equal""",hat,plant
0,NA,1,"""0""",hat,hat
0,NA,2,0.55,hat,hat
0,NA,3,"""0""",hat,hat
0,NA,4,0.63,hat,hat
0,1,NA,"""equal""",hat,hat
0,2,NA,"""equal""",hat,hat
1,NA,1,"""0""",hat,hat
1,NA,2,0.97,hat,hat
1,NA,3,"""0""",hat,hat
1,NA,4,0.98,hat,hat
1,1,NA,"""right""",hat,hat
1,2,NA,"""equal""",hat,hat
0,NA,1,"""0""",rulers,chair
0,NA,2,1,rulers,chair
0,NA,3,"""0""",rulers,chair
0,NA,4,1,rulers,chair
0,1,NA,"""right""",rulers,chair
0,2,NA,"""left""",rulers,chair
0,NA,1,"""1""",rulers,rulers
0,NA,2,0.84,rulers,rulers
0,NA,3,"""0""",rulers,rulers
0,NA,4,0.94,rulers,rulers
0,1,NA,"""left""",rulers,rulers
0,2,NA,"""right""",rulers,rulers
0,NA,1,"""0""",tape,hat
0,NA,2,0.91,tape,hat
0,NA,3,"""0""",tape,hat
0,NA,4,0.88,tape,hat
0,1,NA,"""equal""",tape,hat
0,2,NA,"""equal""",tape,hat
