workerid,language,enjoyment,gender,age,problems,comments,asses,fairprice,education
0,"""English""","""2""","""Female""","""42""","""""","""""","""Yes""","""1.50""","""3"""
1,"""English""","""2""","""Male""","""37""","""no issues""","""""","""Yes""","""1.20""","""1"""
2,"""english""","""1""","""Female""","""33""","""""","""""","""No""","""yes""","""3"""
3,"""english""","""1""","""Male""","""32""","""No problems.""","""""","""Yes""","""1.50""","""3"""
4,"""Italian""","""2""","""Male""","""40""","""EEverything ran smoothly ""","""Thank you!""","""Yes""","""1.2""","""2"""
5,"""Vietnamese""","""2""","""Male""","""32""","""No problem.""","""""","""Yes""","""1.50""","""2"""
6,"""english""","""1""","""Male""","""34""","""no""","""""","""Yes""","""1.50""","""2"""
7,"""English""","""1""","""Female""","""50""","""""","""""","""Yes""","""2""","""3"""
8,"""English""","""2""","""Male""","""38""","""""","""""","""Yes""","""1.20""","""2"""
9,"""English""","""1""","""Male""","""29""","""""","""""","""Yes""","""1.2""","""3"""
10,"""English""","""1""","""Male""","""57""","""none""","""none""","""Yes""","""2.00""","""3"""
11,"""English""","""1""","""Male""","""30""","""no""","""difficult!""","""Yes""",""" yes""","""2"""
12,"""English""","""2""","""Female""","""49""","""no""","""fun""","""Yes""","""1.20""","""3"""
13,"""english""","""2""","""Male""","""28""","""no""","""thanks""","""Yes""","""2""","""3"""
14,"""""","""-1""","""""","""""","""""","""""",NA,"""""","""-1"""
15,"""English""","""2""","""Male""","""32""","""None""","""None""","""Yes""","""1.20""","""2"""
16,"""english""","""2""","""Male""","""35""","""no""","""Thanks!""","""Yes""","""1.20""","""3"""
17,"""English""","""2""","""Male""","""27""","""None.""","""Rather easy and straightforward. I&quotechard do more of these if they were offered. ""","""No""","""1.30""","""2"""
18,"""english""","""2""","""Male""","""35""","""no""","""""","""Yes""","""1.20""","""3"""
19,"""English""","""1""","""Male""","""30""","""no""","""interesting""","""Yes""","""1.50""","""1"""
20,"""english""","""1""","""Female""","""30""","""none""","""n/a""","""Yes""","""1.30""","""2"""
21,"""English""","""1""","""Male""","""32""","""""","""""","""Yes""","""1.5""","""3"""
22,"""english""","""1""","""Male""","""29""","""no""","""""","""Yes""","""1.50""","""3"""
23,"""english""","""2""","""Female""","""29""","""nope""","""""","""Yes""","""10 cents a minute""","""2"""
24,"""english""","""1""","""Female""","""27""","""2 of the pictures didnt load""","""""","""Yes""","""1.50""","""1"""
25,"""English""","""1""","""Male""","""25""","""""","""""","""No""","""1.50""","""3"""
26,"""English""","""2""","""Female""","""61""","""No""","""Thank you for posting the HIT.""","""Yes""","""$1.20""","""3"""
27,"""English""","""1""","""Male""","""45""","""None.""","""This was an interesting study.  As I hiker I can appreciate the situation.""","""Yes""","""1.00""","""2"""
28,"""English""","""1""","""Male""","""44""","""none""","""""","""Yes""","""1.20""","""1"""
29,"""english""","""1""","""Female""","""32""","""none""","""""","""Yes""","""yes""","""4"""
30,"""English""","""2""","""Male""","""50""","""No Problems""","""thanks good luck with your work""","""Yes""","""1.20""","""2"""
31,"""English""","""1""","""Female""","""38""","""None""","""""","""Yes""","""1.20""","""2"""
32,"""English""","""2""","""Female""","""65""","""""","""""","""Yes""","""1.50""","""3"""
33,"""english""","""2""","""Female""","""25""","""no""","""thank you for paying decently""","""No""","""1.50""","""2"""
34,"""english""","""1""","""Female""","""29""","""no""","""""",NA,"""2.00""","""3"""
35,"""English""","""1""","""Male""","""27""","""""","""""","""No""","""1.20""","""2"""
36,"""English""","""2""","""Male""","""29""","""None that I was aware of. ""","""None. Thank you. ""","""Yes""","""1.20""","""1"""
37,"""english""","""1""","""Female""","""31""","""None""","""""","""Yes""","""1.20""","""2"""
38,"""english""","""2""","""Female""","""36""","""no""","""Have a great day!""","""Yes""","""1.20""","""2"""
39,"""English""","""1""","""Female""","""34""","""no""","""""","""Yes""","""1.50""","""2"""
40,"""English""","""2""","""Male""","""23""","""""","""""","""Yes""","""1.20""","""3"""
41,"""english""","""2""","""Female""","""24""","""no`""","""""","""Yes""","""this is a fair price""","""3"""
42,"""English""","""2""","""Male""","""26""","""None""","""Great HIT! I was wondering the format of the trials would be during the instructions, but once the first trial came, it made perfect sense.""","""Yes""","""1.20""","""3"""
43,"""English""","""2""","""Female""","""22""","""No""","""""","""Yes""","""2.00""","""3"""
44,"""English""","""2""","""Male""","""31""","""""","""""","""Yes""","""1.20""","""2"""
45,"""English""","""2""","""Female""","""35""","""No""","""""","""Yes""","""2.00""","""3"""
46,"""English""","""2""","""Male""","""41""","""No.""","""None.""","""Yes""","""1.20""","""3"""
47,"""English""","""1""","""Male""","""31""","""None""","""""","""Yes""","""Yes""","""2"""
48,"""English""","""2""","""Male""","""19""","""None""","""Great hit! Loved the work.""","""Yes""","""1.20""","""2"""
49,"""English""","""2""","""Male""","""27""","""""","""""","""Yes""","""1.50""","""2"""
50,"""English""","""1""","""Male""","""24""","""N/A""","""""","""Yes""","""1.20""","""2"""
51,"""English""","""2""","""Male""","""21""","""N/A""","""""","""Yes""","""Yes""","""2"""
