Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
1,0,0,confidence,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
2,0,1,confidence,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
3,0,2,confidence,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
4,0,3,confidence,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
5,0,4,confidence,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
6,0,5,confidence,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
7,0,6,confidence,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
8,0,7,confidence,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
0,0,8,confidence,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
0,0,9,confidence,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
0,1,0,confidence,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
0,2,0,confidence,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
0,3,0,confidence,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
0,4,0,confidence,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
0,5,0,confidence,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
0,6,0,confidence,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
0,7,0,confidence,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
0,8,0,confidence,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
0,9,0,confidence,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
1,0,0,flat,-10.0,0,0.01
Enforcer Action,A,B,Method,Cooperation,ToM,Rationality
