Key,CompletionDate,UserID,Object,CostCondition,Counterbalancing,DoorChoice,HighCost,Difficulty
98,2018-04-10 14:49:36,aslfJwc,plant,low,1,ModifiedDoor,BaseDoor,Yes
99,2018-04-10 14:49:57,3rCsuPB,cinderblocks,none,1,ClearDoor,TargetDoor,Yes
100,2018-04-10 14:50:03,SU7kBbl,tape,none,1,ClearDoor,equal,Yes
101,2018-04-10 14:50:05,w6QDajm,plant,none,1,ClearDoor,equal,No
102,2018-04-10 14:50:05,il3YMxa,chair,none,0,ClearDoor,TargetDoor,Yes
103,2018-04-10 14:50:05,tHdqDyx,rulers,low,1,ClearDoor,TargetDoor,Yes
104,2018-04-10 14:50:08,62AjcWK,plant,none,0,ModifiedDoor,TargetDoor,Yes
105,2018-04-10 14:50:11,CYIetf1,hat,low,0,ClearDoor,TargetDoor,Yes
106,2018-04-10 14:50:12,GPBxSkP,tape,low,1,ClearDoor,TargetDoor,Yes
107,2018-04-10 14:50:23,vayKZw0,tape,low,1,ClearDoor,TargetDoor,Yes
108,2018-04-10 14:50:24,ibCxVd7,string,none,1,ModifiedDoor,equal,Yes
109,2018-04-10 14:50:25,tvD9AQy,hat,low,0,ModifiedDoor,equal,Yes
110,2018-04-10 14:50:34,mlkyXKP,cinderblocks,low,0,ClearDoor,TargetDoor,Yes
111,2018-04-10 14:50:34,JxpKB0i,chair,low,1,ClearDoor,TargetDoor,Yes
112,2018-04-10 14:50:34,oropCsW,string,none,0,ModifiedDoor,equal,Yes
113,2018-04-10 14:50:38,ZS9QmNt,plant,none,1,ModifiedDoor,equal,Yes
114,2018-04-10 14:50:42,MU7fADG,books,low,1,ClearDoor,TargetDoor,Yes
115,2018-04-10 14:50:52,hFaNd1D,chair,none,0,ClearDoor,equal,Yes
116,2018-04-10 14:50:52,Jd1mgEm,tape,none,1,ClearDoor,equal,Yes
117,2018-04-10 14:50:57,WwybF47,rulers,low,0,ClearDoor,TargetDoor,Yes
118,2018-04-10 14:50:59,kQpMRvG,chair,none,1,ClearDoor,TargetDoor,Yes
119,2018-04-10 14:50:59,YBD8hJR,cinderblocks,low,0,ClearDoor,TargetDoor,Yes
120,2018-04-10 14:51:05,DRhnMVq,plant,low,1,ClearDoor,BaseDoor,Yes
121,2018-04-10 14:51:07,0XoWbVq,cinderblocks,none,0,ClearDoor,TargetDoor,Yes
122,2018-04-10 14:51:08,w46uMEJ,cinderblocks,low,1,ClearDoor,TargetDoor,Yes
123,2018-04-10 14:51:16,gfeNIOu,plant,none,1,ModifiedDoor,equal,Yes
124,2018-04-10 14:51:19,HsmmEUO,tape,low,1,ClearDoor,TargetDoor,Yes
125,2018-04-10 14:51:23,G3zAOQP,plant,none,0,ModifiedDoor,equal,Yes
126,2018-04-10 14:51:26,LABzX3s,string,none,0,ClearDoor,equal,Yes
127,2018-04-10 14:51:27,ZxuBlfr,books,none,0,ModifiedDoor,equal,Yes
128,2018-04-10 14:51:28,,,,0,ModifiedDoor,equal,Yes
129,2018-04-10 14:51:29,WQ9kf2U,books,low,0,ClearDoor,TargetDoor,Yes
130,2018-04-10 14:51:30,QATPerB,cinderblocks,none,0,ClearDoor,equal,No
131,2018-04-10 14:51:32,2ndahCn,chair,none,0,ClearDoor,BaseDoor,Yes
132,2018-04-10 14:51:33,HfR57kn,chair,none,0,ClearDoor,equal,Yes
133,2018-04-10 14:51:35,QsA7Hr6,string,none,1,ClearDoor,equal,Yes
134,2018-04-10 14:51:39,ADvkuvR,plant,low,1,ClearDoor,TargetDoor,Yes
135,2018-04-10 14:51:47,T5TuVjx,rulers,low,0,ClearDoor,TargetDoor,Yes
136,2018-04-10 14:51:48,3ma3IfN,books,low,0,ClearDoor,TargetDoor,Yes
137,2018-04-10 14:51:49,U9KgjbS,plant,low,0,ClearDoor,TargetDoor,No
138,2018-04-10 14:51:49,5S5VYaj,chair,low,0,ClearDoor,TargetDoor,Yes
139,2018-04-10 14:51:49,zARDogx,string,none,0,ClearDoor,BaseDoor,No
140,2018-04-10 14:51:57,NQ7RfrZ,string,none,0,ClearDoor,equal,Yes
141,2018-04-10 14:52:03,NySZ0ZH,rulers,none,1,ClearDoor,equal,Yes
142,2018-04-10 14:52:08,FIoXsEv,tape,low,1,ClearDoor,TargetDoor,No
143,2018-04-10 14:52:11,dJ1zZX8,string,low,0,ClearDoor,TargetDoor,Yes
144,2018-04-10 14:52:19,Njh2t9v,tape,none,1,ClearDoor,TargetDoor,Yes
145,2018-04-10 14:52:35,zUKzImW,chair,none,1,ModifiedDoor,TargetDoor,Yes
146,2018-04-10 14:52:37,eLyewsf,string,low,0,ClearDoor,TargetDoor,Yes
147,2018-04-10 14:52:37,Et5OM5W,tape,none,1,ClearDoor,equal,Yes
148,2018-04-10 14:52:38,Bq7uWxD,rulers,low,0,ClearDoor,TargetDoor,Yes
149,2018-04-10 14:52:39,zjBVnzV,string,low,1,ClearDoor,TargetDoor,Yes
150,2018-04-10 14:52:43,wkv9tyb,string,low,0,ClearDoor,TargetDoor,Yes
151,2018-04-10 14:52:45,CBf1Gkv,cinderblocks,low,0,ClearDoor,TargetDoor,Yes
152,2018-04-10 14:52:55,8iMZerU,books,low,1,ClearDoor,TargetDoor,Yes
153,2018-04-10 14:52:59,KNJjzA4,cinderblocks,low,0,ClearDoor,TargetDoor,Yes
154,2018-04-10 14:52:59,EZQBbgs,rulers,none,1,ClearDoor,equal,Yes
155,2018-04-10 14:53:06,FWC1rQv,cinderblocks,low,0,ClearDoor,BaseDoor,Yes
156,2018-04-10 14:53:06,7ebgFLk,plant,none,0,ModifiedDoor,equal,Yes
157,2018-04-10 14:53:07,uUcLKjn,rulers,none,0,ModifiedDoor,equal,Yes
158,2018-04-10 14:53:14,j3NDJXm,string,low,0,ClearDoor,BaseDoor,Yes
159,2018-04-10 14:53:15,F3vKEWS,rulers,none,0,ModifiedDoor,equal,Yes
160,2018-04-10 14:53:16,Dn2kOwe,tape,low,1,ClearDoor,TargetDoor,Yes
161,2018-04-10 14:53:16,gT44Nxt,cinderblocks,none,1,ClearDoor,TargetDoor,Yes
162,2018-04-10 14:53:17,dJt3fGk,tape,none,0,ClearDoor,equal,Yes
163,2018-04-10 14:53:19,PPMWCiq,hat,low,0,ModifiedDoor,TargetDoor,Yes
164,2018-04-10 14:53:20,SclIVPE,books,none,1,ModifiedDoor,equal,Yes
165,2018-04-10 14:53:24,IGjLxRx,chair,low,0,ModifiedDoor,TargetDoor,Yes
166,2018-04-10 14:53:24,RSbA8Ot,chair,none,1,ClearDoor,TargetDoor,Yes
167,2018-04-10 14:53:30,hmRlVRj,plant,none,0,ClearDoor,BaseDoor,Yes
168,2018-04-10 14:53:33,xwfUUgv,plant,none,1,ModifiedDoor,equal,Yes
169,2018-04-10 14:53:43,uL8MEFd,tape,none,1,ClearDoor,equal,Yes
170,2018-04-10 14:53:48,Tvc6sTL,tape,none,0,ModifiedDoor,TargetDoor,Yes
171,2018-04-10 14:53:58,55o3ZnL,cinderblocks,low,0,ClearDoor,TargetDoor,Yes
172,2018-04-10 14:54:00,QCgNGuY,tape,none,1,ClearDoor,equal,Yes
173,2018-04-10 14:54:05,MpdrMGV,hat,none,0,ModifiedDoor,BaseDoor,Yes
174,2018-04-10 14:54:08,UraiDU1,hat,none,0,ModifiedDoor,equal,Yes
175,2018-04-10 14:54:13,fnx5ANz,books,none,1,ModifiedDoor,equal,Yes
176,2018-04-10 14:54:24,BWlQZz2,hat,low,0,ClearDoor,TargetDoor,Yes
177,2018-04-10 14:54:41,,,,0,,,Yes
178,2018-04-10 14:54:41,tXCulgS,books,none,0,ClearDoor,equal,Yes
179,2018-04-10 14:54:55,jEFVmrH,cinderblocks,none,0,ModifiedDoor,equal,Yes
180,2018-04-10 14:55:01,35svxhg,rulers,low,1,ClearDoor,TargetDoor,No
181,2018-04-10 14:55:07,PLez98C,plant,low,1,ModifiedDoor,TargetDoor,Yes
182,2018-04-10 14:55:36,lxfRbam,hat,none,1,ClearDoor,equal,Yes
183,2018-04-10 14:55:51,VOGkR2M,string,none,1,ClearDoor,equal,Yes
184,2018-04-10 14:55:52,eswuwJY,books,low,0,ModifiedDoor,TargetDoor,Yes
185,2018-04-10 14:55:59,UnIy43x,hat,low,1,ClearDoor,TargetDoor,Yes
186,2018-04-10 14:56:12,lnXBIJW,plant,none,0,ModifiedDoor,TargetDoor,Yes
187,2018-04-10 14:56:16,vy80CO5,rulers,low,1,ClearDoor,TargetDoor,Yes
188,2018-04-10 14:56:35,ZkG1kS9,hat,none,1,ModifiedDoor,equal,Yes
189,2018-04-10 14:56:36,baQsUa2,books,none,0,ModifiedDoor,equal,Yes
190,2018-04-10 14:56:41,fNi2gYy,tape,none,0,ClearDoor,BaseDoor,No
191,2018-04-10 14:56:57,2OspGqB,books,low,1,ClearDoor,equal,Yes
192,2018-04-10 14:56:58,DoI73Zl,books,low,1,ModifiedDoor,TargetDoor,Yes
193,2018-04-10 14:57:15,V1n6Qoe,tape,none,0,ClearDoor,BaseDoor,No
194,2018-04-10 14:57:23,EqNTWS5,hat,none,0,ClearDoor,TargetDoor,Yes
195,2018-04-10 14:57:24,ELXGvH2,tape,none,0,ModifiedDoor,TargetDoor,Yes
196,2018-04-10 14:57:34,qXY7nZP,tape,low,0,ClearDoor,equal,Yes
