target,trial,object,unique_id,age
1,trial_1,rulers,bXE2eg2,57
1,exclusion_1,rulers,bXE2eg2,57
0,exclusion_2,rulers,bXE2eg2,57
1,trial_1,fishbowl,yxeCkdp,60
0,exclusion_1,fishbowl,yxeCkdp,60
0,exclusion_2,fishbowl,yxeCkdp,60
0,trial_1,fishbowl,8txCmJ2,35
1,exclusion_1,fishbowl,8txCmJ2,35
0,exclusion_2,fishbowl,8txCmJ2,35
1,trial_1,tape,U1EI4bt,37
1,exclusion_1,tape,U1EI4bt,37
0,exclusion_2,tape,U1EI4bt,37
1,trial_1,tape,09IqxUR,72
1,exclusion_1,tape,09IqxUR,72
0,exclusion_2,tape,09IqxUR,72
0,trial_1,rulers,PZhQSSu,19
1,exclusion_1,rulers,PZhQSSu,19
0,exclusion_2,rulers,PZhQSSu,19
0,trial_1,plant,5TqE0L2,26
1,exclusion_1,plant,5TqE0L2,26
0,exclusion_2,plant,5TqE0L2,26
1,trial_1,plant,8ZHgJen,36
1,exclusion_1,plant,8ZHgJen,36
0,exclusion_2,plant,8ZHgJen,36
1,trial_1,rulers,pFj6fG5,32
1,exclusion_1,rulers,pFj6fG5,32
0,exclusion_2,rulers,pFj6fG5,32
1,trial_1,rulers,1GyoAuK,31
1,exclusion_1,rulers,1GyoAuK,31
0,exclusion_2,rulers,1GyoAuK,31
1,trial_1,hat,GL2o7eO,45
1,exclusion_1,hat,GL2o7eO,45
0,exclusion_2,hat,GL2o7eO,45
1,trial_1,chair,ttfEhag,29
1,exclusion_1,chair,ttfEhag,29
0,exclusion_2,chair,ttfEhag,29
