target,trial,object,condition,unique_id,age
1,trial_1,stanchion,none,5c80a83573e3990001687214,39
1,exclusion_1,stanchion,none,5c80a83573e3990001687214,39
0,exclusion_2,stanchion,none,5c80a83573e3990001687214,39
1,trial_1,cone,none,60fd4c6f52ed603b43aa2e57,31
1,exclusion_1,cone,none,60fd4c6f52ed603b43aa2e57,31
0,exclusion_2,cone,none,60fd4c6f52ed603b43aa2e57,31
0,trial_1,stanchion,none,636182d3f52ff78fc3f7de50,28
1,exclusion_1,stanchion,none,636182d3f52ff78fc3f7de50,28
0,exclusion_2,stanchion,none,636182d3f52ff78fc3f7de50,28
1,trial_1,tape,none,5c44cf2da5487b00011d0b80,54
1,exclusion_1,tape,none,5c44cf2da5487b00011d0b80,54
1,exclusion_2,tape,none,5c44cf2da5487b00011d0b80,54
1,trial_1,cone,none,5f3716c55fa34618ff41e045,20
1,exclusion_1,cone,none,5f3716c55fa34618ff41e045,20
0,exclusion_2,cone,none,5f3716c55fa34618ff41e045,20
1,trial_1,tape,low,62ead1ef3d160a9d666c0bac,27
1,exclusion_1,tape,low,62ead1ef3d160a9d666c0bac,27
1,exclusion_2,tape,low,62ead1ef3d160a9d666c0bac,27
1,trial_1,stanchion,low,6109799a92fb44f6c1a86e38,21
1,exclusion_1,stanchion,low,6109799a92fb44f6c1a86e38,21
0,exclusion_2,stanchion,low,6109799a92fb44f6c1a86e38,21
1,trial_1,cone,none,6340d654d98a9b43530b3657,52
1,exclusion_1,cone,none,6340d654d98a9b43530b3657,52
0,exclusion_2,cone,none,6340d654d98a9b43530b3657,52
1,trial_1,stanchion,low,6138d887804227f040422bc3,19
1,exclusion_1,stanchion,low,6138d887804227f040422bc3,19
0,exclusion_2,stanchion,low,6138d887804227f040422bc3,19
1,trial_1,tape,low,574b79285e549100063c292e,39
1,exclusion_1,tape,low,574b79285e549100063c292e,39
0,exclusion_2,tape,low,574b79285e549100063c292e,39
1,trial_1,cone,low,5c7a402a2e2df80016d43367,27
1,exclusion_1,cone,low,5c7a402a2e2df80016d43367,27
0,exclusion_2,cone,low,5c7a402a2e2df80016d43367,27
1,trial_1,cone,low,607ce9df61f8f44b9403edfc,34
1,exclusion_1,cone,low,607ce9df61f8f44b9403edfc,34
0,exclusion_2,cone,low,607ce9df61f8f44b9403edfc,34
1,trial_1,cone,none,5adb8015f6b58c0001fa382f,30
1,exclusion_1,cone,none,5adb8015f6b58c0001fa382f,30
0,exclusion_2,cone,none,5adb8015f6b58c0001fa382f,30
1,trial_1,cone,low,600b21eaa7a22214843aff36,58
1,exclusion_1,cone,low,600b21eaa7a22214843aff36,58
0,exclusion_2,cone,low,600b21eaa7a22214843aff36,58
1,trial_1,cone,low,60ff12e2b9f77938fde8e647,20
1,exclusion_1,cone,low,60ff12e2b9f77938fde8e647,20
0,exclusion_2,cone,low,60ff12e2b9f77938fde8e647,20
1,trial_1,cone,low,5c45b1aa3854d5000129a075,38
1,exclusion_1,cone,low,5c45b1aa3854d5000129a075,38
1,exclusion_2,cone,low,5c45b1aa3854d5000129a075,38
1,trial_1,cone,low,5febb30450a719c947d89794,22
1,exclusion_1,cone,low,5febb30450a719c947d89794,22
0,exclusion_2,cone,low,5febb30450a719c947d89794,22
1,trial_1,stanchion,low,6310c25c1ad33481b43851d3,33
1,exclusion_1,stanchion,low,6310c25c1ad33481b43851d3,33
0,exclusion_2,stanchion,low,6310c25c1ad33481b43851d3,33
1,trial_1,tape,low,59b39c4ac05bb50001eb3b7f,28
1,exclusion_1,tape,low,59b39c4ac05bb50001eb3b7f,28
0,exclusion_2,tape,low,59b39c4ac05bb50001eb3b7f,28
1,trial_1,tape,low,60fe1ac35857bd81dfd311d5,25
1,exclusion_1,tape,low,60fe1ac35857bd81dfd311d5,25
0,exclusion_2,tape,low,60fe1ac35857bd81dfd311d5,25
1,trial_1,stanchion,low,5cf6231511ba980001e3aa3d,42
1,exclusion_1,stanchion,low,5cf6231511ba980001e3aa3d,42
0,exclusion_2,stanchion,low,5cf6231511ba980001e3aa3d,42
1,trial_1,cone,low,63189e4e77bf3ae3ce1483f4,33
1,exclusion_1,cone,low,63189e4e77bf3ae3ce1483f4,33
0,exclusion_2,cone,low,63189e4e77bf3ae3ce1483f4,33
1,trial_1,stanchion,low,569b1e1aaf9ad7000d640f24,48
1,exclusion_1,stanchion,low,569b1e1aaf9ad7000d640f24,48
0,exclusion_2,stanchion,low,569b1e1aaf9ad7000d640f24,48
1,trial_1,tape,low,63b708b9a95922d20fbe410f,27
1,exclusion_1,tape,low,63b708b9a95922d20fbe410f,27
0,exclusion_2,tape,low,63b708b9a95922d20fbe410f,27
1,trial_1,cone,low,5783f7dd25cb7100012884a7,35
1,exclusion_1,cone,low,5783f7dd25cb7100012884a7,35
0,exclusion_2,cone,low,5783f7dd25cb7100012884a7,35
1,trial_1,cone,low,61037d932bc5fefbf6cb1058,27
1,exclusion_1,cone,low,61037d932bc5fefbf6cb1058,27
0,exclusion_2,cone,low,61037d932bc5fefbf6cb1058,27
1,trial_1,stanchion,low,62d197b527a52b5849c78b71,50
1,exclusion_1,stanchion,low,62d197b527a52b5849c78b71,50
0,exclusion_2,stanchion,low,62d197b527a52b5849c78b71,50
1,trial_1,tape,low,5f14b46fefc95253caca20b4,45
1,exclusion_1,tape,low,5f14b46fefc95253caca20b4,45
