workerid,actor_coords,trial_num,sentence_0,sentence_1,pear_coords,layout,target_0,target_1
0,"""[9.5 0.5]""",1,"""How much does this farmer think that hikers like pomegranates?""","""How cooperative does this farmer think hikers are?""","""[0.5 0.5]""","""[5 9]_[1 0]""",0.64,0.14
0,"""[0.5 0.5]""",2,"""How much does this farmer think that hikers like pomegranates?""","""How cooperative does this farmer think hikers are?""","""[0.5 9.5]""","""[7 7]_[2 0]""",0.73,0.05
0,"""[0.5 0.5]""",3,"""How much does this farmer think that hikers like pomegranates?""","""How cooperative does this farmer think hikers are?""","""[0.5 9.5]""","""[7 7]_[1 0]""",0.93,0.07
0,"""[9.5 9.5]""",4,"""How much does this farmer think that hikers like pomegranates?""","""How cooperative does this farmer think hikers are?""","""[9.5 0.5]""","""[7 5]_[3 0]""",1,0
0,"""[9.5 0.5]""",5,"""How much does this farmer think that hikers like pomegranates?""","""How cooperative does this farmer think hikers are?""","""[0.5 0.5]""","""[9 9]_[1 0]""",0.99,0.65
0,"""[0.5 9.5]""",6,"""How much does this farmer think that hikers like pomegranates?""","""How cooperative does this farmer think hikers are?""","""[9.5 9.5]""","""[5 5]_[3 0]""",1,0.1
0,"""[9.5 0.5]""",7,"""How much does this farmer think that hikers like pomegranates?""","""How cooperative does this farmer think hikers are?""","""[0.5 0.5]""","""[5 7]_[1 0]""",0.53,0.74
0,"""[0.5 9.5]""",8,"""How much does this farmer think that hikers like pomegranates?""","""How cooperative does this farmer think hikers are?""","""[9.5 9.5]""","""[9 5]_[1 0]""",0.6,0.77
0,"""[0.5 0.5]""",9,"""How much does this farmer think that hikers like pomegranates?""","""How cooperative does this farmer think hikers are?""","""[0.5 9.5]""","""[9 7]_[2 0]""",0.63,0.35
0,"""[9.5 0.5]""",10,"""How much does this farmer think that hikers like pomegranates?""","""How cooperative does this farmer think hikers are?""","""[0.5 0.5]""","""[7 5]_[2 0]""",0.66,0.31
0,"""[9.5 9.5]""",11,"""How much does this farmer think that hikers like pomegranates?""","""How cooperative does this farmer think hikers are?""","""[9.5 0.5]""","""[7 9]_[1 0]""",0.39,0.25
0,"""[0.5 0.5]""",12,"""How much does this farmer think that hikers like pomegranates?""","""How cooperative does this farmer think hikers are?""","""[0.5 9.5]""","""[5 7]_[3 0]""",1,0
0,"""[0.5 0.5]""",13,"""How much does this farmer think that hikers like pomegranates?""","""How cooperative does this farmer think hikers are?""","""[0.5 9.5]""","""[7 9]_[2 0]""",0.72,0.21
0,"""[0.5 0.5]""",14,"""How much does this farmer think that hikers like pomegranates?""","""How cooperative does this farmer think hikers are?""","""[0.5 9.5]""","""[5 9]_[3 0]""",1,0
0,"""[0.5 9.5]""",15,"""How much does this farmer think that hikers like pomegranates?""","""How cooperative does this farmer think hikers are?""","""[9.5 9.5]""","""[7 9]_[3 0]""",1,0
