participant,first_object,second_object,age,target,trial,condition,first_side,second_side,doors
1,books,books,31,1,trial_1,congruent,left,right,open
1,books,books,31,0.81,trial_2,congruent,left,right,open
1,books,books,31,1,trial_3,congruent,left,right,open
1,books,books,31,0.38,trial_4,congruent,left,right,open
1,books,books,31,left,exclusion_1,congruent,left,right,open
1,books,books,31,equal,exclusion_2,congruent,left,right,open
2,books,books,35,1,trial_1,congruent,left,left,open
2,books,books,35,0.55,trial_2,congruent,left,left,open
2,books,books,35,1,trial_3,congruent,left,left,open
2,books,books,35,0.41,trial_4,congruent,left,left,open
2,books,books,35,left,exclusion_1,congruent,left,left,open
2,books,books,35,equal,exclusion_2,congruent,left,left,open
3,books,books,39,0,trial_1,congruent,left,right,open
3,books,books,39,0.52,trial_2,congruent,left,right,open
3,books,books,39,0,trial_3,congruent,left,right,open
3,books,books,39,0.78,trial_4,congruent,left,right,open
3,books,books,39,left,exclusion_1,congruent,left,right,open
3,books,books,39,equal,exclusion_2,congruent,left,right,open
4,books,books,28,0,trial_1,congruent,left,right,open
4,books,books,28,0.29,trial_2,congruent,left,right,open
4,books,books,28,0,trial_3,congruent,left,right,open
4,books,books,28,0.8,trial_4,congruent,left,right,open
4,books,books,28,left,exclusion_1,congruent,left,right,open
4,books,books,28,equal,exclusion_2,congruent,left,right,open
5,books,books,38,1,trial_1,congruent,right,left,open
5,books,books,38,0.54,trial_2,congruent,right,left,open
5,books,books,38,0,trial_3,congruent,right,left,open
5,books,books,38,0.53,trial_4,congruent,right,left,open
5,books,books,38,right,exclusion_1,congruent,right,left,open
5,books,books,38,equal,exclusion_2,congruent,right,left,open
7,books,books,36,1,trial_1,congruent,left,left,open
7,books,books,36,0.92,trial_2,congruent,left,left,open
7,books,books,36,1,trial_3,congruent,left,left,open
7,books,books,36,1,trial_4,congruent,left,left,open
7,books,books,36,left,exclusion_1,congruent,left,left,open
7,books,books,36,left,exclusion_2,congruent,left,left,open
8,books,books,20,1,trial_1,congruent,right,left,open
8,books,books,20,0.65,trial_2,congruent,right,left,open
8,books,books,20,1,trial_3,congruent,right,left,open
8,books,books,20,0.96,trial_4,congruent,right,left,open
8,books,books,20,right,exclusion_1,congruent,right,left,open
8,books,books,20,equal,exclusion_2,congruent,right,left,open
9,books,books,34,1,trial_1,congruent,left,left,open
9,books,books,34,0.36,trial_2,congruent,left,left,open
9,books,books,34,1,trial_3,congruent,left,left,open
9,books,books,34,0.98,trial_4,congruent,left,left,open
9,books,books,34,left,exclusion_1,congruent,left,left,open
9,books,books,34,equal,exclusion_2,congruent,left,left,open
10,books,books,29,1,trial_1,congruent,right,left,open
10,books,books,29,0.75,trial_2,congruent,right,left,open
10,books,books,29,1,trial_3,congruent,right,left,open
10,books,books,29,0.84,trial_4,congruent,right,left,open
10,books,books,29,right,exclusion_1,congruent,right,left,open
10,books,books,29,equal,exclusion_2,congruent,right,left,open
12,chair,chair,46,1,trial_1,congruent,right,right,open
12,chair,chair,46,0.38,trial_2,congruent,right,right,open
12,chair,chair,46,1,trial_3,congruent,right,right,open
12,chair,chair,46,0.23,trial_4,congruent,right,right,open
12,chair,chair,46,right,exclusion_1,congruent,right,right,open
12,chair,chair,46,equal,exclusion_2,congruent,right,right,open
13,chair,chair,32,1,trial_1,congruent,left,left,open
13,chair,chair,32,0.69,trial_2,congruent,left,left,open
13,chair,chair,32,1,trial_3,congruent,left,left,open
13,chair,chair,32,0.82,trial_4,congruent,left,left,open
13,chair,chair,32,left,exclusion_1,congruent,left,left,open
13,chair,chair,32,equal,exclusion_2,congruent,left,left,open
15,chair,chair,54,0,trial_1,congruent,left,right,open
15,chair,chair,54,0.33,trial_2,congruent,left,right,open
15,chair,chair,54,1,trial_3,congruent,left,right,open
15,chair,chair,54,0.01,trial_4,congruent,left,right,open
15,chair,chair,54,left,exclusion_1,congruent,left,right,open
15,chair,chair,54,equal,exclusion_2,congruent,left,right,open
16,chair,chair,20,1,trial_1,congruent,left,right,open
16,chair,chair,20,0.63,trial_2,congruent,left,right,open
16,chair,chair,20,1,trial_3,congruent,left,right,open
16,chair,chair,20,0.88,trial_4,congruent,left,right,open
16,chair,chair,20,left,exclusion_1,congruent,left,right,open
16,chair,chair,20,equal,exclusion_2,congruent,left,right,open
17,chair,chair,30,0,trial_1,congruent,left,left,open
17,chair,chair,30,0.62,trial_2,congruent,left,left,open
17,chair,chair,30,0,trial_3,congruent,left,left,open
17,chair,chair,30,0.91,trial_4,congruent,left,left,open
17,chair,chair,30,left,exclusion_1,congruent,left,left,open
17,chair,chair,30,equal,exclusion_2,congruent,left,left,open
18,chair,chair,34,1,trial_1,congruent,right,left,open
18,chair,chair,34,0.96,trial_2,congruent,right,left,open
18,chair,chair,34,1,trial_3,congruent,right,left,open
18,chair,chair,34,0.95,trial_4,congruent,right,left,open
18,chair,chair,34,right,exclusion_1,congruent,right,left,open
18,chair,chair,34,left,exclusion_2,congruent,right,left,open
19,chair,chair,31,1,trial_1,congruent,left,right,open
19,chair,chair,31,0.97,trial_2,congruent,left,right,open
19,chair,chair,31,1,trial_3,congruent,left,right,open
19,chair,chair,31,0.51,trial_4,congruent,left,right,open
19,chair,chair,31,left,exclusion_1,congruent,left,right,open
19,chair,chair,31,equal,exclusion_2,congruent,left,right,open
20,chair,chair,31,1,trial_1,congruent,right,right,open
20,chair,chair,31,0.9,trial_2,congruent,right,right,open
20,chair,chair,31,1,trial_3,congruent,right,right,open
20,chair,chair,31,0.89,trial_4,congruent,right,right,open
20,chair,chair,31,right,exclusion_1,congruent,right,right,open
20,chair,chair,31,equal,exclusion_2,congruent,right,right,open
21,cinderblocks,cinderblocks,22,1,trial_1,congruent,left,left,open
21,cinderblocks,cinderblocks,22,0.4,trial_2,congruent,left,left,open
21,cinderblocks,cinderblocks,22,1,trial_3,congruent,left,left,open
21,cinderblocks,cinderblocks,22,0.59,trial_4,congruent,left,left,open
21,cinderblocks,cinderblocks,22,left,exclusion_1,congruent,left,left,open
21,cinderblocks,cinderblocks,22,left,exclusion_2,congruent,left,left,open
22,cinderblocks,cinderblocks,26,1,trial_1,congruent,left,left,open
22,cinderblocks,cinderblocks,26,0.79,trial_2,congruent,left,left,open
22,cinderblocks,cinderblocks,26,1,trial_3,congruent,left,left,open
22,cinderblocks,cinderblocks,26,0.92,trial_4,congruent,left,left,open
22,cinderblocks,cinderblocks,26,left,exclusion_1,congruent,left,left,open
22,cinderblocks,cinderblocks,26,equal,exclusion_2,congruent,left,left,open
23,cinderblocks,cinderblocks,49,1,trial_1,congruent,left,left,open
23,cinderblocks,cinderblocks,49,0.93,trial_2,congruent,left,left,open
23,cinderblocks,cinderblocks,49,1,trial_3,congruent,left,left,open
23,cinderblocks,cinderblocks,49,0.78,trial_4,congruent,left,left,open
23,cinderblocks,cinderblocks,49,left,exclusion_1,congruent,left,left,open
23,cinderblocks,cinderblocks,49,equal,exclusion_2,congruent,left,left,open
24,cinderblocks,cinderblocks,24,1,trial_1,congruent,right,left,open
24,cinderblocks,cinderblocks,24,0.89,trial_2,congruent,right,left,open
24,cinderblocks,cinderblocks,24,1,trial_3,congruent,right,left,open
24,cinderblocks,cinderblocks,24,0.82,trial_4,congruent,right,left,open
24,cinderblocks,cinderblocks,24,right,exclusion_1,congruent,right,left,open
24,cinderblocks,cinderblocks,24,equal,exclusion_2,congruent,right,left,open
25,cinderblocks,cinderblocks,21,1,trial_1,congruent,left,left,open
25,cinderblocks,cinderblocks,21,0.82,trial_2,congruent,left,left,open
25,cinderblocks,cinderblocks,21,1,trial_3,congruent,left,left,open
25,cinderblocks,cinderblocks,21,0.71,trial_4,congruent,left,left,open
25,cinderblocks,cinderblocks,21,left,exclusion_1,congruent,left,left,open
25,cinderblocks,cinderblocks,21,equal,exclusion_2,congruent,left,left,open
26,cinderblocks,cinderblocks,44,1,trial_1,congruent,left,right,open
26,cinderblocks,cinderblocks,44,1,trial_2,congruent,left,right,open
26,cinderblocks,cinderblocks,44,1,trial_3,congruent,left,right,open
26,cinderblocks,cinderblocks,44,1,trial_4,congruent,left,right,open
26,cinderblocks,cinderblocks,44,left,exclusion_1,congruent,left,right,open
26,cinderblocks,cinderblocks,44,equal,exclusion_2,congruent,left,right,open
27,cinderblocks,cinderblocks,34,1,trial_1,congruent,right,left,open
27,cinderblocks,cinderblocks,34,1,trial_2,congruent,right,left,open
27,cinderblocks,cinderblocks,34,1,trial_3,congruent,right,left,open
27,cinderblocks,cinderblocks,34,1,trial_4,congruent,right,left,open
27,cinderblocks,cinderblocks,34,right,exclusion_1,congruent,right,left,open
27,cinderblocks,cinderblocks,34,equal,exclusion_2,congruent,right,left,open
28,cinderblocks,cinderblocks,27,1,trial_1,congruent,left,left,open
28,cinderblocks,cinderblocks,27,1,trial_2,congruent,left,left,open
28,cinderblocks,cinderblocks,27,1,trial_3,congruent,left,left,open
28,cinderblocks,cinderblocks,27,0.34,trial_4,congruent,left,left,open
28,cinderblocks,cinderblocks,27,left,exclusion_1,congruent,left,left,open
28,cinderblocks,cinderblocks,27,equal,exclusion_2,congruent,left,left,open
29,cinderblocks,cinderblocks,34,1,trial_1,congruent,right,right,open
29,cinderblocks,cinderblocks,34,0.57,trial_2,congruent,right,right,open
29,cinderblocks,cinderblocks,34,1,trial_3,congruent,right,right,open
29,cinderblocks,cinderblocks,34,0.78,trial_4,congruent,right,right,open
29,cinderblocks,cinderblocks,34,right,exclusion_1,congruent,right,right,open
29,cinderblocks,cinderblocks,34,equal,exclusion_2,congruent,right,right,open
30,cinderblocks,cinderblocks,25,0,trial_1,congruent,left,right,open
30,cinderblocks,cinderblocks,25,0.99,trial_2,congruent,left,right,open
30,cinderblocks,cinderblocks,25,0,trial_3,congruent,left,right,open
30,cinderblocks,cinderblocks,25,0.99,trial_4,congruent,left,right,open
30,cinderblocks,cinderblocks,25,left,exclusion_1,congruent,left,right,open
30,cinderblocks,cinderblocks,25,right,exclusion_2,congruent,left,right,open
31,string,string,24,0,trial_1,congruent,right,right,closed
31,string,string,24,0.99,trial_2,congruent,right,right,closed
31,string,string,24,0,trial_3,congruent,right,right,closed
31,string,string,24,0.97,trial_4,congruent,right,right,closed
31,string,string,24,right,exclusion_1,congruent,right,right,closed
31,string,string,24,equal,exclusion_2,congruent,right,right,closed
32,string,string,38,0,trial_1,congruent,right,right,closed
32,string,string,38,0.99,trial_2,congruent,right,right,closed
32,string,string,38,0,trial_3,congruent,right,right,closed
32,string,string,38,0.99,trial_4,congruent,right,right,closed
32,string,string,38,right,exclusion_1,congruent,right,right,closed
32,string,string,38,equal,exclusion_2,congruent,right,right,closed
