feedback	assignments	workerid	Answer.system	creationtime	Answer.time_in_minutes	deadline	viewhit	keywords	Answer.trials	assignmentduration	title	assignmentapprovaltime	reject	assignmentstatus	hitlifetime	numpending	description	assignmentid	Answer.setup	assignmentaccepttime	numavailable	numcomplete	assignmentsubmittime	annotation	Answer.subject_information	reviewstatus	autoapprovaltime	hitstatus	autoapprovaldelay	hittypeid	assignmentrejecttime	reward	hitid
	10	0	"{""Browser"":""Chrome"",""OS"":""Mac"",""screenH"":900,""screenW"":1600}"	Sat Jan 19 14:51:04 EST 2019	1.5398833333333333		https://requester.mturk.com/mturk/manageHIT?HITId=3UUIU9GZC5FV8FXLDMRBZCXX1075TR	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""trial_num"": 2, ""target"": 0.81}, {""trial_num"": 3, ""target"": ""1""}, {""trial_num"": 4, ""target"": 0.38}, {""exclusion_num"": 1, ""target"": ""left""}, {""exclusion_num"": 2, ""target"": ""equal""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Sun Jan 20 14:51:04 EST 2019	0	Guess what someone else is trying to tell you	3QXNC7EIPJ5FGD008CLJG1VF543092	"{""condition"":""congruent"",""first_side"":""left"",""second_side"":""right"",""first_object"":""books"",""second_object"":""books"",""doors"":""open""}"	Sat Jan 19 14:51:10 EST 2019	0	0	Sat Jan 19 14:52:57 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""2"",""age"":""31"",""gender"":""Male"",""education"":""3"",""problems"":""none"",""fairprice"":"".50"",""comments"":""""}"	NotReviewed	Sun Jan 20 14:52:57 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3UUIU9GZC5FV8FXLDMRBZCXX1075TR
	10	1	"{""Browser"":""Chrome"",""OS"":""Linux"",""screenH"":1280,""screenW"":800}"	Sat Jan 19 14:51:04 EST 2019	2.22925		https://requester.mturk.com/mturk/manageHIT?HITId=3UUIU9GZC5FV8FXLDMRBZCXX1075TR	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""trial_num"": 2, ""target"": 0.55}, {""trial_num"": 3, ""target"": ""1""}, {""trial_num"": 4, ""target"": 0.41}, {""exclusion_num"": 1, ""target"": ""left""}, {""exclusion_num"": 2, ""target"": ""equal""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Sun Jan 20 14:51:04 EST 2019	0	Guess what someone else is trying to tell you	3P59JYT76MU5W2CSL5UEQPP6W9Q2TO	"{""condition"":""congruent"",""first_side"":""left"",""second_side"":""left"",""first_object"":""books"",""second_object"":""books"",""doors"":""open""}"	Sat Jan 19 14:51:11 EST 2019	0	0	Sat Jan 19 14:53:39 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""35"",""gender"":""Male"",""education"":""3"",""problems"":""No"",""fairprice"":""0.30"",""comments"":""No other comments""}"	NotReviewed	Sun Jan 20 14:53:39 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3UUIU9GZC5FV8FXLDMRBZCXX1075TR
	10	2	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":768,""screenW"":1366}"	Sat Jan 19 14:51:04 EST 2019	3.20865		https://requester.mturk.com/mturk/manageHIT?HITId=3UUIU9GZC5FV8FXLDMRBZCXX1075TR	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""0""}, {""trial_num"": 2, ""target"": 0.52}, {""trial_num"": 3, ""target"": ""0""}, {""trial_num"": 4, ""target"": 0.78}, {""exclusion_num"": 1, ""target"": ""left""}, {""exclusion_num"": 2, ""target"": ""equal""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Sun Jan 20 14:51:04 EST 2019	0	Guess what someone else is trying to tell you	3F0BG9B9MQX8ZP8S1NY8UXYTMRU7YY	"{""condition"":""congruent"",""first_side"":""left"",""second_side"":""right"",""first_object"":""books"",""second_object"":""books"",""doors"":""open""}"	Sat Jan 19 14:51:11 EST 2019	0	0	Sat Jan 19 14:54:43 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""39"",""gender"":""Female"",""education"":""2"",""problems"":""none"",""fairprice"":""yes"",""comments"":""Fun Hit""}"	NotReviewed	Sun Jan 20 14:54:43 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3UUIU9GZC5FV8FXLDMRBZCXX1075TR
	10	3	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":768,""screenW"":1366}"	Sat Jan 19 14:51:04 EST 2019	2.3085666666666667		https://requester.mturk.com/mturk/manageHIT?HITId=3UUIU9GZC5FV8FXLDMRBZCXX1075TR	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""0""}, {""trial_num"": 2, ""target"": 0.29}, {""trial_num"": 3, ""target"": ""0""}, {""trial_num"": 4, ""target"": 0.8}, {""exclusion_num"": 1, ""target"": ""left""}, {""exclusion_num"": 2, ""target"": ""equal""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Sun Jan 20 14:51:04 EST 2019	0	Guess what someone else is trying to tell you	3KWTYT0871D9CMNAUFUL25I1M6V5LP	"{""condition"":""congruent"",""first_side"":""left"",""second_side"":""right"",""first_object"":""books"",""second_object"":""books"",""doors"":""open""}"	Sat Jan 19 14:51:11 EST 2019	0	0	Sat Jan 19 15:02:45 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""1"",""asses"":""Yes"",""age"":""28"",""gender"":""Male"",""education"":""2"",""problems"":""No"",""fairprice"":"".30"",""comments"":""None""}"	NotReviewed	Sun Jan 20 15:02:45 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3UUIU9GZC5FV8FXLDMRBZCXX1075TR
	10	4	"{""Browser"":""Chrome"",""OS"":""Linux"",""screenH"":640,""screenW"":360}"	Sat Jan 19 14:51:04 EST 2019	2.7564333333333333		https://requester.mturk.com/mturk/manageHIT?HITId=3UUIU9GZC5FV8FXLDMRBZCXX1075TR	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""trial_num"": 2, ""target"": 0.54}, {""trial_num"": 3, ""target"": ""0""}, {""trial_num"": 4, ""target"": 0.53}, {""exclusion_num"": 1, ""target"": ""right""}, {""exclusion_num"": 2, ""target"": ""equal""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Sun Jan 20 14:51:04 EST 2019	0	Guess what someone else is trying to tell you	336KAV9KYR21DOBMVBHDY6HLBB8Y29	"{""condition"":""congruent"",""first_side"":""right"",""second_side"":""left"",""first_object"":""books"",""second_object"":""books"",""doors"":""open""}"	Sat Jan 19 14:59:35 EST 2019	0	0	Sat Jan 19 15:04:08 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""38"",""gender"":""Male"",""education"":""2"",""problems"":"""",""fairprice"":"".30"",""comments"":""""}"	NotReviewed	Sun Jan 20 15:04:08 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3UUIU9GZC5FV8FXLDMRBZCXX1075TR
	10	5	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":864,""screenW"":1536}"	Sat Jan 19 14:51:04 EST 2019	2.0067833333333334		https://requester.mturk.com/mturk/manageHIT?HITId=3UUIU9GZC5FV8FXLDMRBZCXX1075TR	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""trial_num"": 2, ""target"": 0.68}, {""trial_num"": 3, ""target"": ""1""}, {""trial_num"": 4, ""target"": 0.76}, {""exclusion_num"": 1, ""target"": ""equal""}, {""exclusion_num"": 2, ""target"": ""equal""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Sun Jan 20 14:51:04 EST 2019	0	Guess what someone else is trying to tell you	3KGTPGBS6YVKWFRHLAKOVLB8FNX2UF	"{""condition"":""congruent"",""first_side"":""right"",""second_side"":""right"",""first_object"":""books"",""second_object"":""books"",""doors"":""open""}"	Sat Jan 19 14:51:11 EST 2019	0	0	Sat Jan 19 15:24:03 EST 2019	1 cond	"{""language"":""english"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""29"",""gender"":""Female"",""education"":""2"",""problems"":""no"",""fairprice"":"".30"",""comments"":""""}"	NotReviewed	Sun Jan 20 15:24:03 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3UUIU9GZC5FV8FXLDMRBZCXX1075TR
	10	6	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":864,""screenW"":1536}"	Sat Jan 19 14:51:04 EST 2019	19.01021666666667		https://requester.mturk.com/mturk/manageHIT?HITId=3UUIU9GZC5FV8FXLDMRBZCXX1075TR	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""trial_num"": 2, ""target"": 0.92}, {""trial_num"": 3, ""target"": ""1""}, {""trial_num"": 4, ""target"": 1}, {""exclusion_num"": 1, ""target"": ""left""}, {""exclusion_num"": 2, ""target"": ""left""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Sun Jan 20 14:51:04 EST 2019	0	Guess what someone else is trying to tell you	3IFS6Q0HJJT8SNDFL8AG3001JM8SIZ	"{""condition"":""congruent"",""first_side"":""left"",""second_side"":""left"",""first_object"":""books"",""second_object"":""books"",""doors"":""open""}"	Sat Jan 19 14:51:08 EST 2019	0	0	Sat Jan 19 15:35:42 EST 2019	1 cond	"{""language"":""English"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""36"",""gender"":""Male"",""education"":""2"",""problems"":""no"",""fairprice"":""yes"",""comments"":""""}"	NotReviewed	Sun Jan 20 15:35:42 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3UUIU9GZC5FV8FXLDMRBZCXX1075TR
	10	7	"{""Browser"":""Chrome"",""OS"":""Windows"",""screenH"":1080,""screenW"":1920}"	Sat Jan 19 14:51:04 EST 2019	1.9225833333333333		https://requester.mturk.com/mturk/manageHIT?HITId=3UUIU9GZC5FV8FXLDMRBZCXX1075TR	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""trial_num"": 2, ""target"": 0.65}, {""trial_num"": 3, ""target"": ""1""}, {""trial_num"": 4, ""target"": 0.96}, {""exclusion_num"": 1, ""target"": ""right""}, {""exclusion_num"": 2, ""target"": ""equal""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Sun Jan 20 14:51:04 EST 2019	0	Guess what someone else is trying to tell you	3LEIZ60CDK9CIY6QC6YBM0Y1NBMZ9T	"{""condition"":""congruent"",""first_side"":""right"",""second_side"":""left"",""first_object"":""books"",""second_object"":""books"",""doors"":""open""}"	Sat Jan 19 15:01:09 EST 2019	0	0	Sat Jan 19 15:52:16 EST 2019	1 cond	"{""language"":""Spanish"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""20"",""gender"":""Female"",""education"":""1"",""problems"":""no"",""fairprice"":"".50"",""comments"":""""}"	NotReviewed	Sun Jan 20 15:52:16 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3UUIU9GZC5FV8FXLDMRBZCXX1075TR
	10	8	"{""Browser"":""Chrome"",""OS"":""Mac"",""screenH"":800,""screenW"":1280}"	Sat Jan 19 14:51:04 EST 2019	3.2841		https://requester.mturk.com/mturk/manageHIT?HITId=3UUIU9GZC5FV8FXLDMRBZCXX1075TR	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""trial_num"": 2, ""target"": 0.36}, {""trial_num"": 3, ""target"": ""1""}, {""trial_num"": 4, ""target"": 0.98}, {""exclusion_num"": 1, ""target"": ""left""}, {""exclusion_num"": 2, ""target"": ""equal""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Sun Jan 20 14:51:04 EST 2019	0	Guess what someone else is trying to tell you	3OONKJ5DKDTJ7N7G8H1QX8MNR7TOBX	"{""condition"":""congruent"",""first_side"":""left"",""second_side"":""left"",""first_object"":""books"",""second_object"":""books"",""doors"":""open""}"	Sat Jan 19 15:52:02 EST 2019	0	0	Sat Jan 19 15:55:38 EST 2019	1 cond	"{""language"":""english"",""enjoyment"":""2"",""asses"":""Yes"",""age"":""34"",""gender"":""Female"",""education"":""3"",""problems"":""no"",""fairprice"":"".50"",""comments"":""none""}"	NotReviewed	Sun Jan 20 15:55:38 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3UUIU9GZC5FV8FXLDMRBZCXX1075TR
	10	9	"{""Browser"":""Chrome"",""OS"":""Mac"",""screenH"":800,""screenW"":1280}"	Sat Jan 19 14:51:04 EST 2019	2.98625		https://requester.mturk.com/mturk/manageHIT?HITId=3UUIU9GZC5FV8FXLDMRBZCXX1075TR	psychology cognitive science research yale university fun thinking	"[{""trial_num"": 1, ""target"": ""1""}, {""trial_num"": 2, ""target"": 0.75}, {""trial_num"": 3, ""target"": ""1""}, {""trial_num"": 4, ""target"": 0.84}, {""exclusion_num"": 1, ""target"": ""right""}, {""exclusion_num"": 2, ""target"": ""equal""}]"	3600	Play a simple cooperation game (please only do this HIT once!)			Submitted	Sun Jan 20 14:51:04 EST 2019	0	Guess what someone else is trying to tell you	3H0W84IWBLCKB3BGA0KKSBXD5RQRE9	"{""condition"":""congruent"",""first_side"":""right"",""second_side"":""left"",""first_object"":""books"",""second_object"":""books"",""doors"":""open""}"	Sat Jan 19 15:52:00 EST 2019	0	0	Sat Jan 19 15:56:36 EST 2019	1 cond	"{""language"":""english"",""enjoyment"":""1"",""asses"":""Yes"",""age"":""29"",""gender"":""Female"",""education"":""3"",""problems"":""no"",""fairprice"":""yes"",""comments"":""""}"	NotReviewed	Sun Jan 20 15:56:36 EST 2019	Reviewable	86400	3LC6UUY7PQL2LVO0ZUEVD0WV151DDM		$0.30	3UUIU9GZC5FV8FXLDMRBZCXX1075TR
