workerid,exclusion_num,trial_num,target,first_object,second_object
0,NA,1,"""0""",string,hat
0,NA,2,0.97,string,hat
0,NA,3,"""0""",string,hat
0,NA,4,1,string,hat
0,1,NA,"""right""",string,hat
0,2,NA,"""equal""",string,hat
1,NA,1,"""0""",string,hat
1,NA,2,1,string,hat
1,NA,3,"""0""",string,hat
1,NA,4,1,string,hat
1,1,NA,"""left""",string,hat
1,2,NA,"""left""",string,hat
2,NA,1,"""0""",string,hat
2,NA,2,0.81,string,hat
2,NA,3,"""0""",string,hat
2,NA,4,0.74,string,hat
2,1,NA,"""left""",string,hat
2,2,NA,"""left""",string,hat
0,NA,1,"""1""",string,plant
0,NA,2,0.71,string,plant
0,NA,3,"""1""",string,plant
0,NA,4,0.81,string,plant
0,1,NA,"""left""",string,plant
0,2,NA,"""equal""",string,plant
1,NA,1,"""0""",string,plant
1,NA,2,0.9,string,plant
1,NA,3,"""0""",string,plant
1,NA,4,0.94,string,plant
1,1,NA,"""right""",string,plant
1,2,NA,"""left""",string,plant
2,NA,1,"""1""",string,plant
2,NA,2,0.52,string,plant
2,NA,3,"""1""",string,plant
2,NA,4,0.24,string,plant
2,1,NA,"""right""",string,plant
2,2,NA,"""equal""",string,plant
3,NA,1,"""1""",string,plant
3,NA,2,0.89,string,plant
3,NA,3,"""0""",string,plant
3,NA,4,0.57,string,plant
3,1,NA,"""right""",string,plant
3,2,NA,"""equal""",string,plant
0,NA,1,"""1""",string,tape
0,NA,2,1,string,tape
0,NA,3,"""1""",string,tape
0,NA,4,0.77,string,tape
0,1,NA,"""right""",string,tape
0,2,NA,"""equal""",string,tape
1,NA,1,"""1""",string,tape
1,NA,2,0.52,string,tape
1,NA,3,"""1""",string,tape
1,NA,4,0.49,string,tape
1,1,NA,"""right""",string,tape
1,2,NA,"""right""",string,tape
2,NA,1,"""1""",string,tape
2,NA,2,0.92,string,tape
2,NA,3,"""1""",string,tape
2,NA,4,0.72,string,tape
2,1,NA,"""left""",string,tape
2,2,NA,"""equal""",string,tape
